channel_identifier,genre,subscriber_count,total_views,video_count,channel_age_days,collected_video_count,avg_upload_interval_days,std_upload_interval_days,max_gap_days,hiatus_count_30d,avg_view_count,std_view_count,avg_like_count,avg_comment_count,avg_normal_view,regularity_score,cv,outlier_ratio,gap_ratio,sensitive_score,n_sensitive_videos,sensitive_video_ratio,cat_politics,cat_hate,cat_aggro,cat_adult_illegal,is_churned
CH03284,(미분류),100000,66570000,5937,4407,50,0.18,0.52,3.0,0,14890.7,36121.74,258.1,23.48,27652.33,0.7857,0.522,0.1429,3.0,0.04,2,0.04,1,1,0,0,0
CH03285,(미분류),100000,253550000,1036,4022,50,2.86,3.29,12.0,0,488397.72,563301.73,4775.14,149.2,121944.82,0.6553,1.151,0.1429,4.2,0.08,5,0.1,0,0,5,0,0
CH03286,(미분류),100000,101100000,1339,2622,50,0.0,0.0,0.0,0,20873.78,57756.46,88.86,6.8,8879.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
CH03287,TV+방송,100000,157880000,582,5218,50,0.31,0.71,3.0,0,101272.8,216194.58,1425.76,71.42,0.0,0.7748,0.706,0.0612,3.0,0.0,0,0.0,0,0,0,0,0
CH03288,국내+여행+해외,100000,14010000,240,4114,50,5.33,8.92,37.0,2,5495.48,4655.72,23.38,2.1,0.0,0.5436,1.675,0.102,6.95,0.0267,2,0.04,0,0,2,0,0
CH03289,가수+댄스+음악,100000,20640000,536,3664,50,1.55,3.2,19.0,0,1912.08,1262.28,21.14,3.34,920.86,0.4509,2.064,0.0408,12.25,0.0,0,0.0,0,0,0,0,0
CH03290,게임,100000,70380000,7743,3941,50,0.24,0.48,2.0,0,11372.54,8759.81,62.8,21.86,11372.54,0.7716,0.475,0.2245,2.0,0.0,0,0.0,0,0,0,0,0
CH03291,가수+댄스+음악,100000,22510000,1686,6192,50,20.04,67.14,412.0,6,12147.8,39089.4,696.6,29.66,13310.96,0.4027,3.35,0.0408,20.56,0.0,0,0.0,0,0,0,0,1
CH03295,(미분류),100000,16480000,111,2508,50,13.98,26.39,141.0,5,113079.38,185389.72,3528.63,263.06,124572.42,0.4609,1.888,0.0408,10.09,0.0,0,0.0,0,0,0,0,1
CH03296,(미분류),100000,22380000,108,3130,50,24.9,38.92,148.0,13,217808.96,562600.39,4976.2,117.92,550229.21,0.5803,1.563,0.102,5.94,0.0,0,0.0,0,0,0,0,0
CH03297,(미분류),100000,78390000,1336,2391,50,0.29,0.45,1.0,0,20365.14,6961.07,1642.1,61.78,20365.14,0.7587,0.452,0.2857,1.0,0.0,0,0.0,0,0,0,0,0
CH03298,(미분류),100000,49240000,421,2285,50,1.45,1.7,7.0,0,116242.72,105944.46,3088.08,141.18,94836.0,0.653,1.175,0.0816,4.83,0.0,0,0.0,0,0,0,0,0
CH03299,(미분류),100000,168420000,3102,4714,50,0.08,0.27,1.0,0,96179.62,101490.54,1044.28,127.66,65326.76,0.868,0.274,0.0816,1.0,0.0333,2,0.04,0,0,2,0,0
CH03300,레시피+요리+음식,100000,35310000,376,4027,50,23.8,47.48,167.0,8,6403.16,6102.17,86.8,38.42,6449.08,0.5093,1.995,0.1429,7.02,0.0,0,0.0,0,0,0,0,0
CH03301,IT+기술+컴퓨터,100000,50550000,1006,5901,50,5.88,11.28,76.0,1,140386.64,734211.57,341.72,15.34,7021.43,0.459,1.92,0.0408,12.93,0.0267,2,0.04,0,0,2,0,0
CH03302,게임,100000,135020000,1192,3735,50,13.78,70.52,487.0,2,120158.68,96078.21,234.0,82.62,120158.68,0.3695,5.119,0.0408,35.35,0.1933,11,0.22,0,0,11,0,1
CH03303,라이프+취미,100000,17220000,289,6061,50,29.69,48.18,228.0,11,22708.92,34154.49,530.02,65.34,22177.53,0.5325,1.623,0.0816,7.68,0.0,0,0.0,0,0,0,0,1
CH03304,가수+댄스+음악,100000,10450000,358,6222,50,6.2,2.13,14.0,0,12427.92,32927.17,354.58,12.06,14587.41,0.8356,0.343,0.1224,2.26,0.0,0,0.0,0,0,0,0,0
CH03305,(미분류),100000,278610000,13883,5282,50,0.45,0.5,1.0,0,4989.74,1488.74,0.0,0.0,4989.74,0.8339,0.497,0.0,1.0,0.0267,2,0.04,0,0,2,0,0
CH03306,레시피+요리+음식,100000,104690000,6224,4435,50,49.27,137.47,685.0,12,39828.4,29666.46,320.86,85.1,39828.4,0.4135,2.79,0.0612,13.9,0.0,0,0.0,0,0,0,0,1
CH03307,가수+댄스+음악,100000,40950000,929,5029,50,24.59,34.89,174.0,9,5698.82,4523.95,136.1,9.94,5698.82,0.5658,1.419,0.0816,7.08,0.0133,1,0.02,0,0,1,0,0
CH03308,BJ+연예인+인물,100000,38880000,430,4519,50,14.24,45.3,261.0,2,12122.32,12836.42,250.64,14.82,16833.91,0.4074,3.18,0.0408,18.32,0.0933,5,0.1,0,1,4,0,1
CH03309,게임,100000,95180000,2002,4152,50,0.9,0.95,5.0,0,54889.16,31632.24,323.18,204.02,53144.69,0.6805,0.953,0.0612,5.0,0.0267,2,0.04,0,0,2,0,0
CH03310,게임,100000,56410000,4735,4705,50,0.02,0.14,1.0,0,4965.12,2361.82,42.22,10.66,4917.98,0.9319,0.141,0.0204,1.0,0.0,0,0.0,0,0,0,0,0
CH03311,게임,100000,25780000,781,3015,50,1.61,1.94,7.0,0,21127.32,12617.84,206.92,20.42,21298.86,0.6521,1.201,0.1224,4.34,0.0267,2,0.04,0,0,2,0,0
CH03312,만화+애니+영화,100000,48510000,198,4350,50,41.31,83.97,507.0,12,60260.76,145211.2,1527.65,120.22,51524.62,0.4526,2.033,0.0408,12.27,0.0,0,0.0,0,0,0,0,1
CH03313,(미분류),100000,19550000,341,3639,50,9.57,4.48,25.0,0,28465.5,9693.85,6586.86,474.62,28465.5,0.8161,0.468,0.0816,2.61,0.0933,7,0.14,0,0,8,0,0
CH03314,(미분류),100000,62330000,1302,3207,50,8.06,15.12,96.0,3,24333.06,15915.43,222.92,33.68,23088.13,0.4555,1.875,0.0612,11.91,0.0333,2,0.04,0,0,2,0,1
CH03317,(미분류),100000,1765610000,99,2350,50,32.71,59.93,272.0,16,4736267.86,12663649.73,91681.02,3239.86,4925312.25,0.5002,1.832,0.0816,8.31,0.0,0,0.0,0,0,0,0,0
CH03318,(미분류),100000,16310000,146,5024,50,11.57,10.68,41.0,4,91572.16,126649.66,2256.86,127.44,119772.94,0.7078,0.923,0.1224,3.54,0.0,0,0.0,0,0,0,0,0
CH03319,미용+패션,100000,15980000,299,3663,50,30.39,52.81,268.0,12,13672.22,24286.94,130.52,11.26,14729.68,0.498,1.738,0.0612,8.82,0.0133,1,0.02,0,0,1,0,1
CH03320,미용+패션,100000,40420000,938,4975,50,1.18,1.06,4.0,0,9839.36,6798.87,170.14,14.0,13150.33,0.722,0.898,0.102,3.38,0.0,0,0.0,0,0,0,0,0
CH03323,레시피+요리+음식,100000,34330000,529,4394,50,42.43,114.36,549.0,9,25341.38,20995.37,245.17,51.94,25341.38,0.4169,2.695,0.0612,12.94,0.0,0,0.0,0,0,0,0,1
CH03327,반려동물+애완,100000,30750000,1605,4706,50,1.59,1.56,9.0,0,3502.26,3050.48,474.16,19.32,2668.9,0.6519,0.982,0.0816,5.65,0.0,0,0.0,0,0,0,0,0
CH03329,(미분류),100000,8250000,97,2769,50,3.1,5.27,22.0,0,21844.52,40589.57,569.94,42.82,36364.33,0.5377,1.699,0.102,7.09,0.0,0,0.0,0,0,0,0,1
CH03330,(미분류),100000,118230000,3026,4511,50,0.18,0.44,2.0,0,16821.56,13323.69,501.34,22.46,12762.63,0.799,0.437,0.1633,2.0,0.0,0,0.0,0,0,0,0,0
CH03331,(미분류),100000,18770000,227,3634,50,5.14,4.16,15.0,0,96967.78,414926.6,512.38,77.34,31628.24,0.7582,0.808,0.0612,2.92,0.0133,1,0.02,0,0,1,0,0
CH03332,(미분류),100000,18000000,2508,2041,50,0.47,0.81,3.0,0,3175.34,6394.57,81.52,1.86,0.0,0.7394,0.811,0.1224,3.0,0.0267,4,0.08,0,0,4,0,0
CH03333,(미분류),100000,125970000,609,2711,50,4.92,3.48,15.0,0,21396.12,26551.29,184.22,42.82,21396.12,0.7669,0.708,0.0816,3.05,0.0267,2,0.04,0,0,2,0,0
CH03334,(미분류),100000,94250000,582,1883,50,3.51,5.45,31.0,1,5298.22,5335.66,183.67,21.12,2956.58,0.4986,1.553,0.102,8.83,0.02,1,0.02,0,0,1,0,1
CH03335,어린이+키즈,100000,171560000,254,5372,50,1.73,2.62,7.0,0,20027.62,8080.34,60.1,0.04,0.0,0.6146,1.509,0.1837,4.04,0.0,0,0.0,0,0,0,0,0
CH03336,어린이+키즈,100000,47310000,192,2818,50,4.63,16.48,118.0,1,266139.56,623416.25,243.88,0.0,270101.49,0.4036,3.557,0.0204,25.47,0.0,0,0.0,0,0,0,0,1
CH03337,(미분류),100000,60560000,538,1489,50,11.16,14.33,93.0,3,55055.08,18982.97,5937.84,209.42,55055.08,0.5483,1.284,0.0612,8.33,0.0,0,0.0,0,0,0,0,0
CH03338,(미분류),100000,85530000,625,1934,50,1.47,1.2,4.0,0,107867.24,186638.62,1506.1,44.88,59242.36,0.7449,0.815,0.102,2.72,0.0267,2,0.04,0,0,2,0,0
CH03339,미용+패션,100000,81890000,798,5121,50,4.0,7.7,33.0,1,39905.94,69709.83,707.2,60.52,91870.95,0.4903,1.926,0.102,8.25,0.0133,1,0.02,0,0,1,0,0
CH03340,(미분류),100000,33870000,191,3125,50,12.94,16.22,62.0,7,147887.02,577120.83,4344.04,97.44,36765.72,0.6401,1.253,0.102,4.79,0.0,0,0.0,0,0,0,0,0
CH03341,게임,100000,28940000,437,4189,50,0.86,0.9,5.0,0,46445.0,109186.42,885.52,44.92,153890.25,0.6933,0.904,0.0408,5.0,0.08,6,0.12,0,0,6,0,0
CH03343,게임,100000,16710000,1626,4003,50,0.37,0.6,2.0,0,69901.4,101609.22,466.0,30.52,54474.46,0.795,0.596,0.0612,2.0,0.0,0,0.0,0,0,0,0,0
CH03345,경제+부동산+주식,100000,14470000,976,3163,50,2.22,1.79,7.0,0,4774.54,3029.0,118.38,11.2,4774.54,0.7424,0.803,0.102,3.15,0.0267,2,0.04,1,0,1,0,0
CH03346,(미분류),100000,11360000,69,1589,50,25.04,38.72,177.0,12,164320.08,403796.82,4710.62,53.2,48539.81,0.5495,1.546,0.102,7.07,0.0,0,0.0,0,0,0,0,0
CH03347,(미분류),100000,44240000,250,2084,50,3.78,3.56,20.0,0,241790.14,468614.1,5722.04,283.28,210971.88,0.6673,0.943,0.0816,5.3,0.0,0,0.0,0,0,0,0,0
CH03348,(미분류),100000,243000000,263,4493,50,3.86,9.37,57.0,2,168040.48,256489.79,6302.94,299.2,343255.09,0.4275,2.428,0.0612,14.78,0.0,0,0.0,0,0,0,0,0
CH03349,(미분류),100000,35310000,314,1514,50,1.1,1.62,8.0,0,103581.64,82919.22,2159.38,203.9,131097.84,0.5624,1.469,0.0612,7.26,0.0,0,0.0,0,0,0,0,0
CH03350,(미분류),100000,28960000,145,832,50,3.45,3.61,13.0,0,20449.16,47828.79,502.44,45.92,11151.97,0.6793,1.048,0.1429,3.77,0.0,0,0.0,0,0,0,0,0
CH03352,반려동물+애완,100000,114050000,994,3562,50,16.1,53.3,294.0,6,18677.1,31270.4,1050.26,88.84,21432.41,0.4038,3.31,0.0408,18.26,0.04,3,0.06,0,0,3,0,0
CH03354,IT+기술+컴퓨터,100000,46290000,3236,6408,50,1.69,2.37,11.0,0,21733.6,14177.91,19.12,3.18,25601.88,0.5843,1.397,0.0816,6.49,0.0133,1,0.02,0,0,1,0,0
CH03355,미용+패션,100000,470000,124,3227,50,4.06,6.48,33.0,1,2620.66,2949.55,15.02,0.8,0.0,0.5217,1.595,0.0816,8.13,0.0,0,0.0,0,0,0,0,0
CH03356,만화+애니+영화,100000,33810000,112,3341,50,47.29,121.38,572.0,11,102999.74,271154.02,1719.74,143.82,107597.51,0.4157,2.567,0.0816,12.1,0.0,0,0.0,0,0,0,0,1
CH03358,(미분류),100000,29160000,570,2415,50,2.0,4.08,29.0,0,26695.74,30687.15,5229.54,251.42,26695.74,0.4583,2.04,0.0204,14.5,0.0,0,0.0,0,0,0,0,1
CH03360,(미분류),100000,48150000,167,2127,50,9.0,25.09,178.0,1,130124.64,230742.57,1590.94,41.08,88598.1,0.4259,2.787,0.0204,19.78,0.02,2,0.04,0,0,2,0,0
CH03361,어린이+키즈,100000,55080000,51,4063,50,44.82,190.02,1124.0,4,935692.58,1657133.86,1570.28,8.0,948177.96,0.3832,4.24,0.0408,25.08,0.0,0,0.0,0,0,0,0,1
CH03362,어린이+키즈,100000,53640000,257,1572,50,6.16,1.39,9.0,0,25626.12,44501.39,30.18,0.0,25626.12,0.859,0.226,0.1633,1.46,0.0,0,0.0,0,0,0,0,1
CH03363,(미분류),100000,46840000,252,1377,50,0.82,0.92,3.0,0,11052.7,9658.71,209.76,12.34,10389.02,0.7422,0.919,0.0612,3.0,0.12,5,0.1,0,4,3,0,0
CH03364,(미분류),100000,21160000,3944,2421,50,0.14,0.53,3.0,0,4811.26,7581.71,78.56,39.66,4781.28,0.8013,0.535,0.0816,3.0,0.0,0,0.0,0,0,0,0,0
CH03365,(미분류),100000,93050000,928,2313,50,2.18,2.22,14.0,0,68531.88,251717.38,240.58,15.8,27447.65,0.6383,1.016,0.0408,6.41,0.0,0,0.0,0,0,0,0,0
CH03366,(미분류),100000,66210000,650,1729,50,2.71,2.63,10.0,0,58834.58,30438.98,518.32,56.48,55522.15,0.7036,0.97,0.102,3.68,0.0,0,0.0,0,0,0,0,0
CH03367,(미분류),100000,6090000,99,882,50,12.57,22.33,117.0,5,51377.02,89181.45,1806.78,156.88,67878.79,0.4876,1.776,0.0408,9.31,0.0,0,0.0,0,0,0,0,0
CH03369,(미분류),100000,92010000,840,2664,50,3.16,2.75,13.0,0,61528.18,52109.47,814.6,359.24,61528.18,0.7113,0.87,0.0816,4.11,0.0333,2,0.04,0,0,2,0,0
CH03370,(미분류),100000,54680000,2179,2900,50,0.22,0.46,2.0,0,16628.34,12548.15,272.76,44.08,16628.34,0.7804,0.464,0.2041,2.0,0.0,0,0.0,0,0,0,0,0
CH03372,가수+댄스+음악,100000,30770000,177,4386,50,20.24,21.03,88.0,13,62060.08,69256.42,1381.88,152.94,83915.73,0.6762,1.039,0.102,4.35,0.0,0,0.0,0,0,0,0,1
CH03373,미용+패션,100000,9470000,169,4285,50,16.45,31.96,153.0,6,5752.32,8999.75,98.5,8.18,16164.0,0.4592,1.943,0.102,9.3,0.0,0,0.0,0,0,0,0,1
CH03375,BJ+연예인+인물,100000,10970000,448,5679,50,4.02,3.24,16.0,0,18306.16,18226.63,230.74,11.02,20466.17,0.7246,0.805,0.0816,3.98,0.0,0,0.0,0,0,0,0,0
CH03376,강의+교육,100000,52740000,1949,6234,50,17.16,44.66,262.0,8,1392.62,909.23,19.58,2.52,1465.65,0.4205,2.602,0.0612,15.27,0.0,0,0.0,0,0,0,0,1
CH03377,게임,100000,22560000,583,2607,50,1.24,2.25,10.0,0,34588.6,68495.37,90.52,19.56,14677.13,0.5157,1.811,0.0612,8.03,0.0,0,0.0,0,0,0,0,0
CH03378,자동차,100000,50410000,1334,2956,50,2.49,1.42,8.0,0,12912.66,7959.17,251.02,23.58,12912.66,0.7637,0.569,0.1633,3.21,0.0,0,0.0,0,0,0,0,0
CH03379,TV+방송,100000,210000,123,3603,50,4.53,6.52,28.0,0,279.08,160.93,0.0,2.72,220.34,0.5897,1.439,0.0816,6.18,0.16,9,0.18,0,0,7,2,0
CH03380,TV+방송,100000,87690000,168,3629,50,0.29,0.49,2.0,0,44653.66,46495.65,516.44,5.58,33628.5,0.8284,0.495,0.0204,2.0,0.0,0,0.0,0,0,0,0,0
CH03381,가수+댄스+음악,100000,82930000,222,3947,50,48.14,125.61,664.0,9,395974.82,2007570.29,2678.92,201.4,403993.84,0.4079,2.609,0.102,13.79,0.0,0,0.0,0,0,0,0,1
CH03382,IT+기술+컴퓨터,100000,11700000,175,4498,50,48.06,139.33,920.0,11,43032.6,145274.25,943.28,65.08,43032.6,0.416,2.899,0.0408,19.14,0.0333,2,0.04,0,0,1,1,1
CH03384,(미분류),100000,147860000,4358,4492,50,1.22,3.48,16.0,0,1173.1,2183.5,6.22,0.28,801.2,0.4056,2.845,0.0816,13.07,0.36,18,0.36,0,0,18,0,0
CH03385,(미분류),100000,56020000,167,2608,50,26.35,58.76,340.0,6,214476.8,393856.32,3782.62,97.52,140447.98,0.4364,2.23,0.0612,12.9,0.02,1,0.02,0,1,0,0,1
CH03386,(미분류),100000,303950000,4538,4204,50,0.04,0.28,2.0,0,2731.16,4338.63,36.56,7.53,2055.98,0.8837,0.283,0.0204,2.0,0.0,0,0.0,0,0,0,0,0
CH03387,(미분류),100000,69620000,1124,5056,50,1.69,1.47,6.0,0,16787.9,20837.95,498.42,52.04,25112.28,0.7152,0.87,0.1224,3.54,0.08,6,0.12,0,0,6,0,0
CH03388,(미분류),100000,31300000,377,5926,50,3.12,6.54,47.0,1,17173.08,36301.33,211.42,22.58,18302.3,0.4555,2.094,0.0204,15.05,0.0,0,0.0,0,0,0,0,0
CH03389,(미분류),100000,153990000,643,1872,50,4.18,5.75,24.0,0,27325.78,59530.34,275.48,4.88,43987.39,0.6017,1.375,0.102,5.74,0.0333,2,0.04,0,0,2,0,0
CH03390,(미분류),100000,143010000,294,3400,50,10.86,30.07,192.0,4,1209569.56,3005682.93,1602.5,178.56,1607460.88,0.4204,2.769,0.0408,17.68,0.0,0,0.0,0,0,0,0,0
CH03392,(미분류),100000,84880000,1323,767,50,0.0,0.0,0.0,0,104758.76,350417.41,439.84,68.78,1152754.75,1.0,0.0,0.0,0.0,0.0533,4,0.08,0,0,4,0,0
CH03393,게임,100000,104120000,2068,4322,50,1.94,2.03,7.0,0,55629.74,49468.55,484.34,61.58,52409.07,0.6837,1.049,0.1429,3.61,0.06,3,0.06,0,0,3,0,0
CH03394,게임,100000,68230000,3990,4980,50,0.88,1.21,4.0,0,36583.2,27604.58,390.82,155.66,36751.04,0.6552,1.206,0.1429,4.0,0.04,3,0.06,0,0,3,0,0
CH03396,IT+기술+컴퓨터,100000,12350000,103,3343,50,4.59,6.99,30.0,1,122298.28,168861.38,4891.07,0.0,122298.28,0.5667,1.522,0.102,6.53,0.1067,7,0.14,4,0,3,0,1
CH03397,(미분류),100000,50630000,57,1774,50,31.31,85.19,544.0,11,726610.12,2779115.51,18030.06,1542.04,1051954.72,0.4221,2.721,0.0408,17.38,0.0,0,0.0,0,0,0,0,0
CH03399,어린이+키즈,100000,72020000,456,1683,50,2.98,0.59,4.0,0,14568.78,12177.31,27.9,0.0,15381.7,0.8134,0.198,0.3469,1.34,0.0,0,0.0,0,0,0,0,0
CH03400,(미분류),100000,41150000,195,951,50,4.78,6.3,36.0,1,91838.52,103828.93,4530.2,155.48,73041.21,0.5798,1.319,0.0204,7.54,0.0,0,0.0,0,0,0,0,0
CH03401,(미분류),100000,119020000,1137,6702,50,2.22,3.75,18.0,0,253446.96,466076.58,813.1,194.94,167846.95,0.5224,1.685,0.0612,8.09,0.0,0,0.0,0,0,0,0,0
CH03402,(미분류),100000,40430000,421,2696,50,0.63,1.16,7.0,0,49038.64,103414.45,558.76,23.74,157862.17,0.6055,1.155,0.0408,7.0,0.0133,1,0.02,0,0,1,0,0
CH03403,(미분류),100000,47750000,322,3132,50,5.51,17.03,123.0,1,33755.18,103051.29,790.44,71.78,57069.2,0.4161,3.091,0.0204,22.32,0.04,2,0.04,0,2,0,0,0
CH03404,반려동물+애완,100000,35140000,117,3220,50,20.82,106.41,757.0,2,303447.34,406001.23,4665.98,312.68,303447.34,0.3757,5.112,0.0204,36.37,0.02,1,0.02,1,0,0,0,1
CH03405,(미분류),100000,49750000,635,4371,50,0.82,0.77,3.0,0,35282.74,73771.69,613.56,36.34,2909.0,0.739,0.774,0.1429,3.0,0.0067,1,0.02,0,0,1,0,1
CH03407,가수+댄스+음악,100000,40080000,12433,5889,50,0.12,0.52,3.0,0,446.16,516.97,5.1,0.0,134.87,0.8105,0.52,0.0612,3.0,0.0,0,0.0,0,0,0,0,0
CH03409,게임,100000,332060000,5549,4294,50,0.08,0.34,2.0,0,31825.04,34831.6,140.38,27.7,13172.38,0.8547,0.34,0.0612,2.0,0.0467,3,0.06,0,0,3,0,0
CH03410,TV+방송,100000,2400000,89,3349,50,6.84,16.36,82.0,3,5102.78,5500.16,31.4,2.32,8495.15,0.4351,2.393,0.0408,11.99,0.0,0,0.0,0,0,0,0,0
CH03411,게임,100000,73800000,2102,3977,50,3.12,9.76,69.0,1,2232.72,5271.25,5.82,2.82,813.5,0.4151,3.124,0.0204,22.1,0.0,0,0.0,0,0,0,0,0
CH03412,(미분류),100000,24420000,1729,2271,50,1.14,1.31,6.0,0,3405.88,414.49,394.0,24.42,3405.88,0.6504,1.146,0.0612,5.25,0.02,1,0.02,1,0,0,0,0
CH03413,(미분류),100000,22190000,500,2859,50,17.51,26.74,142.0,5,13644.28,39105.21,132.26,3.34,13644.28,0.5335,1.527,0.0612,8.11,0.0,0,0.0,0,0,0,0,0
CH03415,(미분류),100000,17410000,4033,2774,50,7.63,45.52,321.0,2,739.62,897.99,46.22,2.08,739.62,0.3657,5.964,0.0204,42.06,0.04,2,0.04,0,0,3,0,1
CH03416,(미분류),100000,61530000,2005,5586,50,0.53,1.39,6.0,0,16938.04,22867.67,636.54,33.32,24076.48,0.5993,1.387,0.0816,6.0,0.0,0,0.0,0,0,0,0,0
CH03417,(미분류),100000,27420000,265,4869,50,6.94,9.15,56.0,2,85030.1,79429.32,4496.08,317.0,86358.12,0.5586,1.318,0.0408,8.07,0.0933,7,0.14,0,0,7,0,0
CH03418,(미분류),100000,43360000,337,2883,50,10.57,8.94,48.0,3,153474.44,249100.72,5407.7,160.58,153474.44,0.7024,0.846,0.0816,4.54,0.02,1,0.02,0,0,1,0,0
CH03419,(미분류),100000,20540000,250,2856,50,6.61,5.76,29.0,0,70350.72,66054.68,1647.92,215.96,84851.11,0.7153,0.872,0.0408,4.39,0.02,1,0.02,1,0,0,0,0
CH03421,(미분류),100000,118730000,1836,4755,50,2.37,2.26,7.0,0,39167.36,70294.15,256.64,17.2,33114.1,0.6948,0.953,0.2041,2.96,0.02,1,0.02,0,0,1,0,0
CH03422,(미분류),100000,96420000,1667,1843,50,0.69,1.46,6.0,0,27571.56,20689.84,160.6,24.02,23445.23,0.5869,1.46,0.102,6.0,0.0133,1,0.02,0,0,1,0,0
CH03423,반려동물+애완,100000,69650000,1005,4832,50,6.04,10.27,56.0,3,8935.46,7184.67,130.76,47.08,10439.67,0.4877,1.7,0.0612,9.27,0.0333,2,0.04,1,0,1,0,1
CH03424,레시피+요리+음식,100000,21580000,917,3935,50,5.33,6.79,34.0,2,4657.66,11300.63,25.5,3.4,5463.35,0.6047,1.275,0.0612,6.38,0.0133,1,0.02,0,0,1,0,0
CH03426,라이프+취미,100000,65230000,1196,4723,50,3.04,2.94,15.0,0,24206.68,15847.39,335.66,46.52,24587.39,0.6744,0.967,0.0816,4.93,0.0133,1,0.02,0,0,1,0,0
CH03428,가수+댄스+음악,100000,36630000,113,5608,50,38.43,67.09,382.0,17,454300.74,769359.59,5041.72,390.5,536792.05,0.4654,1.746,0.0612,9.94,0.0,0,0.0,0,0,0,0,1
CH03429,IT+기술+컴퓨터,100000,7340000,82,3245,50,16.92,19.01,100.0,9,34325.14,72383.57,936.4,30.5,34325.14,0.64,1.124,0.0408,5.91,0.0,0,0.0,0,0,0,0,1
CH03431,TV+방송,100000,39620000,744,2112,50,3.0,11.88,80.0,1,101077.24,506251.89,569.66,22.94,0.0,0.3886,3.96,0.0408,26.67,0.0733,2,0.04,0,2,2,0,0
CH03432,(미분류),100000,62880000,268,4255,50,19.76,55.52,306.0,4,104596.04,85582.07,2050.86,170.68,108376.51,0.419,2.81,0.0408,15.49,0.0133,1,0.02,0,0,1,0,1
CH03433,(미분류),100000,176720000,465,1758,50,8.78,5.5,28.0,0,121096.82,74998.41,1765.54,135.58,121096.82,0.7714,0.626,0.102,3.19,0.0133,1,0.02,0,0,1,0,1
CH03434,(미분류),100000,12340000,1387,1895,50,6.49,42.24,299.0,1,1003.82,1091.25,43.18,4.0,990.33,0.3605,6.509,0.0204,46.07,0.0,0,0.0,0,0,0,0,0
CH03435,어린이+키즈,100000,158260000,757,3408,50,4.78,3.91,19.0,0,16648.94,12364.24,107.86,2.2,18163.78,0.7285,0.82,0.0612,3.98,0.0,0,0.0,0,0,0,0,0
