channel_identifier,is_churned
CH03531,0
CH03532,0
CH03533,0
CH03536,0
CH03538,0
CH03539,0
CH03541,0
CH03542,0
CH03543,0
CH03544,0
CH03545,0
CH03547,0
CH03548,1
CH03551,1
CH03552,0
CH03553,0
CH03554,0
CH03555,0
CH03556,0
CH03558,0
CH03559,0
CH03560,1
CH03561,1
CH03563,0
CH03565,1
CH03566,0
CH03567,1
CH03568,1
CH03569,1
CH03570,0
CH03571,0
CH03572,0
CH03573,0
CH03574,0
CH03575,0
CH03576,1
CH03577,0
CH03578,1
CH03580,1
CH03581,0
CH03582,0
CH03584,1
CH03585,0
CH03586,0
CH03587,0
CH03588,0
CH03590,1
CH03591,1
CH03593,1
CH03594,0
CH03596,1
CH03597,1
CH03598,0
CH03599,1
CH03600,0
CH03601,0
CH03603,0
CH03604,0
CH03605,0
CH03606,0
CH03607,0
CH03608,0
CH03609,0
CH03610,1
CH03611,1
CH03613,0
CH03614,0
CH03615,0
CH03616,1
CH03617,0
CH03618,0
CH03619,0
CH03620,0
CH03622,1
CH03623,0
CH03624,0
CH03625,1
CH03626,0
CH03627,0
CH03628,0
CH03629,0
CH03630,0
CH03632,0
CH03634,1
CH03635,1
CH03636,0
CH03637,1
CH03639,0
CH03640,0
CH03641,0
CH03642,0
CH03644,1
CH03646,0
CH03647,0
CH03648,0
CH03649,1
CH03650,0
CH03651,1
CH03652,0
CH03653,0
CH03654,1
CH03655,0
CH03657,1
CH03659,1
CH03660,1
CH03661,0
CH03662,0
CH03663,1
CH03664,0
CH03665,0
CH03666,0
CH03667,0
CH03668,1
CH03669,1
CH03671,1
CH03673,1
CH03675,0
CH03676,0
CH03677,0
CH03678,1
CH03679,0
CH03680,0
CH03682,1
CH03684,0
CH03685,0
CH03686,0
CH03687,1
CH03688,1
CH03690,0
CH03691,1
CH03692,1
CH03693,1
CH03694,0
CH03696,1
CH03699,0
CH03700,1
CH03701,0
CH03702,0
CH03703,0
CH03704,0
CH03706,0
CH03707,0
CH03708,0
CH03709,0
CH03710,1
CH03711,1
CH03712,0
CH03714,0
CH03715,0
CH03717,1
CH03720,0
CH03721,0
CH03722,0
CH03723,0
CH03724,0
CH03725,0
CH03726,0
CH03727,0
CH03729,0
CH03730,0
CH03732,1
CH03734,0
CH03735,0
CH03736,0
CH03737,0
CH03738,0
CH03739,0
CH03740,1
CH03741,0
CH03744,1
CH03747,0
CH03748,0
CH03749,0
CH03750,0
CH03751,0
CH03752,0
CH03753,1
CH03754,0
CH03755,0
CH03756,0
CH03757,1
CH03758,0
CH03759,0
CH03760,1
CH03762,0
CH03763,1
CH03764,0
CH03765,0
CH03768,0
CH03769,1
CH03770,0
CH03771,0
CH03772,0
CH03773,0
CH03774,1
CH03775,1
CH03776,1
CH03778,1
CH03779,0
CH03781,0
CH03782,0
CH03783,1
CH03784,0
CH03786,0
CH03787,0
CH03789,1
CH03791,0
CH03792,0
CH03793,0
CH03794,1
CH03795,0
CH03798,1
CH03799,0
CH03800,0
CH03801,0
CH03802,0
CH03803,0
CH03804,0
CH03805,0
CH03808,0
CH03811,1
CH03812,0
CH03813,0
CH03814,0
CH03815,0
CH03817,0
CH03818,1
CH03819,0
CH03820,0
CH03821,0
CH03822,0
CH03823,1
CH03824,0
CH03825,1
CH03826,0
CH03827,1
CH03828,1
CH03829,0
CH03830,0
CH03831,0
CH03834,0
CH03835,0
CH03836,0
CH03837,0
CH03838,1
CH03840,1
CH03841,1
CH03842,0
CH03844,0
CH03845,0
CH03847,1
CH03848,0
CH03849,0
CH03850,0
CH03851,1
CH03852,1
CH03853,0
CH03855,0
CH03856,1
CH03857,1
CH03858,1
CH03859,0
CH03860,1
CH03861,0
CH03862,0
CH03863,0
CH03864,0
CH03865,0
CH03866,0
CH03867,0
CH03868,0
CH03869,1
CH03871,0
CH03872,1
CH03873,0
CH03874,0
CH03876,0
CH03877,1
CH03878,0
CH03879,0
CH03880,0
CH03881,0
CH03883,0
CH03884,1
CH03885,1
CH03887,0
CH03888,1
CH03889,1
CH03890,0
CH03891,0
CH03892,0
CH03893,0
CH03894,0
CH03895,0
CH03897,1
CH03898,0
CH03899,0
CH03900,1
CH03901,1
CH03902,0
CH03903,0
CH03904,0
CH03907,0
CH03908,0
CH03910,0
CH03911,0
CH03912,1
CH03915,0
CH03916,0
CH03917,0
CH03918,1
CH03919,0
CH03920,0
CH03922,0
CH03923,0
CH03926,0
CH03927,1
CH03930,0
CH03931,1
CH03932,0
CH03935,1
CH03936,0
CH03937,1
CH03938,1
CH03940,0
CH03941,1
CH03943,0
CH03944,0
CH03946,0
CH03948,1
CH03949,0
CH03950,0
CH03951,1
CH03952,0
CH03953,0
CH03954,1
CH03955,0
CH03957,0
CH03958,0
CH03960,0
CH03961,0
CH03962,0
CH03963,0
CH03964,1
CH03965,0
CH03966,1
CH03967,0
CH03968,0
CH03969,1
CH03970,1
CH03971,0
CH03972,0
CH03973,0
CH03974,0
CH03975,0
CH03977,0
CH03978,0
CH03979,1
CH03980,1
CH03981,0
CH03982,1
CH03983,0
CH03984,1
CH03985,0
CH03986,0
CH03987,0
CH03988,0
CH03989,0
CH03990,0
CH03993,1
CH03997,1
CH03998,1
CH03999,1
CH04000,0
CH04002,1
CH04003,1
CH04004,0
CH04005,0
CH04006,0
CH04007,0
CH04008,0
CH04009,0
CH04010,1
CH04011,0
CH04012,0
CH04013,0
CH04014,1
CH04015,0
CH04016,0
CH04017,0
CH04018,0
CH04019,0
CH04022,0
CH04023,0
CH04024,0
CH04026,0
CH04027,0
CH04028,0
CH04029,1
CH04030,0
CH04031,0
CH04032,0
CH04033,0
CH04034,0
CH04035,0
CH04036,0
CH04037,0
CH04039,0
CH04040,0
CH04044,0
CH04045,0
CH04046,0
CH04047,1
CH04048,0
CH04049,0
CH04050,0
CH04051,0
CH04052,1
CH04053,0
CH04055,1
CH04057,0
CH04060,0
CH04061,0
CH04063,0
CH04065,0
CH04067,1
CH04068,1
CH04069,0
CH04070,0
CH04071,0
CH04072,0
CH04073,0
CH04074,0
CH04076,0
CH04077,1
CH04078,0
CH04079,1
CH04080,1
CH04081,1
CH04082,1
CH04084,0
CH04085,1
CH04086,0
CH04087,0
CH04088,0
CH04089,0
CH04092,1
CH04093,0
CH04094,0
CH04096,0
CH04097,0
CH04098,1
CH04099,0
CH04100,0
CH04101,1
CH04102,0
CH04103,0
CH04106,1
CH04109,0
CH04110,0
CH04111,0
CH04113,0
CH04114,0
CH04115,0
CH04116,1
CH04117,0
CH04119,1
CH04120,1
CH04121,0
CH04122,1
CH04123,0
CH04124,0
CH04125,1
CH04126,0
CH04127,1
CH04128,0
CH04129,1
CH04130,0
CH04131,0
CH04132,0
CH04133,0
CH04134,0
CH04135,0
CH04136,0
CH04138,1
CH04139,1
CH04140,0
CH04141,0
CH04142,1
CH04143,0
CH04144,0
CH04146,0
CH04147,0
CH04148,0
CH04149,0
CH04150,0
CH04151,0
CH04152,0
CH04153,0
CH04154,1
CH04155,0
CH04156,1
CH04157,0
CH04159,0
CH04160,0
CH04161,0
CH04162,0
CH04163,0
CH04164,0
CH04165,1
CH04166,1
CH04167,0
CH04168,0
CH04169,0
CH04170,0
CH04171,1
CH04172,0
CH04173,0
CH04174,0
CH04175,0
CH04176,0
CH04177,1
CH04180,1
CH04181,0
CH04182,0
CH04183,1
CH04184,1
CH04186,1
CH04187,0
CH04188,0
CH04189,0
CH04190,0
CH04191,0
CH04192,0
CH04193,1
CH04194,0
CH04195,0
CH04197,0
CH04198,0
CH04200,0
CH04201,0
CH04202,0
CH04203,1
CH04204,0
CH04206,0
CH04207,1
CH04208,0
CH04209,0
CH04211,0
CH04212,0
CH04213,0
CH04214,0
CH04215,0
CH04216,0
CH04217,0
CH04218,0
CH04219,1
CH04220,0
CH04222,1
CH04223,0
CH04227,1
CH04228,0
CH04230,0
CH04231,0
CH04232,1
CH04233,0
CH04235,1
CH04236,0
CH04237,0
CH04238,0
CH04239,0
CH04240,0
CH04241,0
CH04242,0
CH04243,1
CH04244,1
CH04245,0
CH04246,1
CH04247,0
CH04248,0
CH04249,0
CH04251,1
CH04252,0
CH04253,0
CH04254,0
CH04255,1
CH04256,1
CH04257,0
CH04258,0
CH04260,0
CH04261,1
CH04262,0
CH04263,1
CH04264,0
CH04265,1
CH04266,1
CH04268,1
CH04269,0
CH04270,0
CH04271,0
CH04272,0
CH04273,1
CH04274,1
CH04275,1
CH04279,0
CH04280,1
CH04281,0
CH04282,1
CH04283,1
CH04284,0
CH04285,0
CH04286,0
CH04287,1
CH04288,1
CH04289,1
CH04290,0
CH04291,0
CH04294,0
CH04295,1
CH04296,0
CH04297,0
CH04298,0
CH04299,0
CH04300,0
CH04301,0
CH04302,0
CH04303,1
CH04304,1
CH04305,1
CH04306,0
CH04307,1
CH04308,0
CH04310,0
CH04311,0
CH04312,1
CH04313,0
CH04314,0
CH04315,0
CH04316,0
CH04317,0
CH04318,1
CH04319,1
CH04320,0
CH04321,0
CH04322,1
CH04325,1
CH04326,0
CH04327,0
CH04328,1
CH04329,0
CH04330,1
CH04331,0
CH04332,0
CH04333,0
CH04335,1
CH04337,1
CH04338,0
CH04340,0
CH04342,0
CH04343,1
CH04344,0
CH04345,0
CH04346,0
CH04348,0
CH04351,1
CH04352,0
CH04353,1
CH04354,0
CH04355,0
CH04356,0
CH04357,1
CH04358,0
CH04359,1
CH04360,0
CH04361,0
CH04364,0
CH04365,0
CH04366,0
CH04367,0
CH04368,0
CH04369,0
CH04370,0
CH04371,0
CH04372,0
CH04373,0
CH04374,0
CH04375,0
CH04377,0
CH04378,0
CH04379,0
CH04380,1
CH04381,0
CH04382,0
CH04384,1
CH04385,0
CH04386,0
CH04387,1
CH04388,0
CH04389,1
CH04390,0
CH04391,1
CH04392,0
CH04393,0
CH04395,0
CH04396,0
CH04399,1
CH04400,0
CH04401,0
CH04402,0
CH04403,1
CH04404,1
CH04405,0
CH04406,0
CH04407,0
CH04408,0
CH04409,0
CH04410,0
CH04411,1
CH04412,0
CH04414,0
CH04416,0
CH04417,0
CH04418,0
CH04419,0
CH04420,0
CH04422,0
CH04424,0
CH04426,0
CH04427,0
CH04428,0
CH04431,0
CH04433,1
CH04434,0
CH04435,0
CH04436,0
CH04438,0
CH04439,0
CH04440,0
CH04441,0
CH04442,0
CH04443,0
CH04444,0
CH04445,1
CH04446,1
CH04447,1
CH04448,1
CH04449,1
CH04450,0
CH04452,0
CH04453,0
CH04454,1
CH04455,0
CH04456,1
CH04458,0
CH04459,0
CH04460,0
CH04462,0
CH04463,0
CH04464,0
CH04465,0
CH04466,0
CH04467,1
CH04468,0
CH04469,1
CH04470,0
CH04471,0
CH04472,1
CH04473,0
CH04474,1
CH04475,0
CH04476,0
CH04477,1
CH04478,1
CH04479,0
CH04480,0
CH04481,0
CH04482,0
CH04483,1
CH04484,1
CH04485,1
CH04486,0
CH04487,0
CH04488,1
CH04489,0
CH04490,1
CH04491,0
CH04492,0
CH04493,0
CH04494,1
CH04496,0
CH04497,1
CH04499,0
CH04501,0
CH04502,0
CH04503,0
CH04504,1
CH04505,0
CH04507,0
CH04508,0
CH04509,1
CH04510,0
CH04511,0
CH04515,0
CH04516,0
CH04517,1
CH04519,0
CH04520,0
CH04521,0
CH04523,0
CH04524,0
CH04525,0
CH04526,0
CH04527,0
CH04528,0
CH04529,0
CH04530,0
CH04531,0
CH04532,0
CH04533,1
CH04534,0
CH04535,0
CH04536,1
CH04537,1
CH04538,1
CH04539,0
CH04540,0
CH04541,0
CH04542,0
CH04543,0
CH04544,0
CH04545,1
CH04546,0
CH04548,1
CH04550,0
CH04551,0
CH04552,0
CH04553,0
CH04554,0
CH04555,1
CH04556,0
CH04557,0
CH04558,0
CH04560,0
CH04561,0
CH04562,0
CH04563,0
CH04564,0
CH04565,1
CH04566,0
CH04567,0
CH04568,0
CH04569,0
CH04570,0
CH04571,0
CH04572,0
CH04574,0
CH04576,0
CH04578,0
CH04580,1
CH04581,0
CH04582,0
CH04583,0
CH04584,0
CH04585,0
CH04587,0
CH04588,0
CH04589,0
CH04590,1
CH04591,0
CH04592,1
CH04593,0
CH04595,0
CH04596,0
CH04597,1
CH04599,1
CH04602,0
CH04604,0
CH04605,1
CH04606,0
CH04607,0
CH04608,1
CH04609,1
CH04610,1
CH04612,0
CH04613,0
CH04614,0
CH04615,0
CH04616,0
CH04617,0
CH04618,0
CH04619,0
CH04621,0
CH04622,0
CH04623,0
CH04624,0
CH04625,0
CH04626,0
CH04627,0
CH04628,0
CH04630,0
CH04631,1
CH04632,0
CH04633,0
CH04634,0
CH04635,0
CH04636,0
CH04637,0
CH04638,0
CH04639,0
CH04640,0
CH04641,0
CH04642,0
CH04643,1
CH04644,0
CH04645,0
CH04646,1
CH04647,0
CH04649,0
CH04650,0
CH04652,1
CH04653,0
CH04654,0
CH04655,0
CH04656,0
CH04657,0
CH04658,0
CH04659,0
CH04660,0
CH04661,0
CH04662,0
CH04663,0
CH04665,0
CH04666,0
CH04667,0
CH04668,0
CH04669,0
CH04670,0
CH04671,0
CH04672,1
CH04674,1
CH04675,0
CH04676,0
CH04677,0
CH04678,0
CH04679,0
CH04680,0
CH04681,0
CH04682,0
CH04686,0
CH04688,0
CH04689,0
CH04690,1
CH04691,0
CH04692,1
CH04693,0
CH04694,0
CH04695,0
CH04696,0
CH04697,0
CH04698,1
CH04699,0
CH04701,1
CH04703,0
CH04704,0
CH04705,0
CH04707,0
CH04708,0
CH04709,1
CH04712,1
CH04713,0
CH04714,0
CH04715,0
CH04716,0
CH04717,0
CH04718,0
CH04719,0
CH04720,0
CH04721,0
CH04722,1
CH04723,0
CH04726,0
CH04727,0
CH04729,0
CH04730,0
CH04732,1
CH04733,0
CH04735,0
CH04736,0
CH04739,1
CH04741,0
CH04743,0
CH04744,0
CH04745,0
CH04746,1
CH04747,0
CH04748,0
CH04749,0
CH04750,0
CH04751,0
CH04752,1
CH04753,0
CH04754,0
CH04756,0
CH04758,0
CH04759,0
CH04760,0
CH04761,0
CH04762,0
CH04763,0
CH04765,1
CH04766,1
CH04767,0
CH04768,0
CH04769,1
CH04771,0
CH04773,1
CH04774,0
CH04775,0
CH04776,1
CH04777,1
CH04778,1
CH04779,0
CH04780,0
CH04781,0
CH04782,0
CH04783,0
CH04784,0
CH04785,0
CH04786,0
CH04787,0
CH04788,0
CH04789,0
CH04791,0
CH04792,1
CH04793,0
CH04794,0
CH04795,0
CH04797,0
CH04799,1
CH04800,0
CH04801,0
CH04802,0
CH04803,0
CH04804,0
CH04805,1
CH04807,0
CH04809,1
CH04811,1
CH04812,1
CH04813,0
CH04814,0
CH04815,0
CH04816,0
CH04817,0
CH04818,0
CH04819,0
CH04820,0
CH04821,0
CH04822,0
CH04823,0
CH04824,0
CH04825,0
CH04826,0
CH04827,0
CH04828,1
CH04829,0
CH04830,0
CH04831,0
CH04832,0
CH04833,1
CH04834,0
CH04835,1
CH04836,1
CH04837,1
CH04838,1
CH04839,1
CH04840,0
CH04841,0
CH04842,0
CH04843,0
CH04844,0
CH04845,0
CH04846,0
CH04848,0
CH04849,0
CH04850,0
CH04851,0
CH04852,0
CH04853,0
CH04854,1
CH04855,1
CH04856,0
CH04857,1
CH04858,0
CH04859,0
CH04860,0
CH04862,0
CH04863,0
CH04864,0
CH04865,1
CH04866,0
CH04868,0
CH04869,0
CH04870,0
CH04872,0
CH04873,0
CH04874,1
CH04875,0
CH04876,0
CH04877,0
CH04878,0
CH04879,0
CH04880,0
CH04882,0
CH04883,0
CH04884,0
CH04885,1
CH04886,0
CH04887,1
CH04888,1
CH04889,0
CH04890,1
CH04891,0
CH04892,0
CH04893,1
CH04894,1
CH04895,0
CH04896,1
CH04898,0
CH04899,0
CH04900,0
CH04901,0
CH04902,0
CH04904,0
CH04906,0
CH04908,0
CH04909,1
CH04910,0
CH04911,1
CH04912,0
CH04913,0
CH04914,0
CH04915,1
CH04916,0
CH04918,0
CH04919,1
CH04920,0
CH04922,0
CH04923,0
CH04924,0
CH04925,0
CH04926,0
CH04927,0
CH04928,1
CH04929,1
CH04930,1
CH04931,0
CH04933,0
CH04934,1
CH04935,0
CH04937,0
CH04938,0
CH04939,0
CH04940,0
CH04941,0
CH04942,0
CH04943,0
CH04944,1
CH04945,0
CH04946,0
CH04947,0
CH04948,1
CH04950,0
CH04951,0
CH04952,1
CH04953,0
CH04955,0
CH04956,0
CH04957,0
CH04958,0
CH04959,0
CH04960,0
CH04961,0
CH04962,0
CH04963,1
CH04964,1
CH04967,0
CH04968,0
CH04969,0
CH04970,0
CH04971,0
CH04973,1
CH04975,0
CH04976,1
CH04977,0
CH04978,0
CH04979,0
CH04980,0
CH04981,0
CH04982,0
CH04983,0
CH04984,1
CH04985,0
CH04986,0
CH04987,0
CH04988,0
CH04989,1
CH04990,0
CH04991,0
CH04992,0
CH04993,0
CH04994,1
CH04995,1
CH04996,1
CH04998,0
CH04999,0
CH05000,0
CH05001,0
CH05002,0
CH05003,0
CH05004,0
CH05005,0
CH05006,0
CH05008,0
CH05009,0
CH05010,0
CH05011,1
CH05012,0
CH05014,1
CH05015,1
CH05016,0
CH05017,0
CH05018,0
CH05019,0
CH05020,1
CH05021,0
CH05022,1
CH05023,0
CH05025,0
CH05026,1
CH05027,0
CH05029,0
CH05031,0
CH05032,0
CH05033,0
CH05034,1
CH05035,0
CH05036,0
CH05037,1
CH05038,0
CH05039,1
CH05040,1
CH05042,0
CH05043,0
CH05044,0
CH05045,1
CH05046,1
CH05047,0
CH05048,0
CH05051,0
CH05052,0
CH05053,0
CH05054,1
CH05055,0
CH05056,0
CH05057,1
CH05058,0
CH05061,0
CH05063,0
CH05064,1
CH05065,0
CH05066,0
CH05067,0
CH05068,0
CH05069,0
CH05070,1
CH05071,0
CH05072,1
CH05073,1
CH05074,0
CH05075,0
CH05076,0
CH05077,0
CH05079,1
CH05080,0
CH05082,1
CH05083,0
CH05084,0
CH05085,1
CH05086,1
CH05087,0
CH05088,0
CH05089,1
CH05090,0
CH05091,0
CH05092,0
CH05093,0
CH05094,1
CH05095,0
CH05096,0
CH05098,0
CH05099,0
CH05100,0
CH05101,1
CH05102,1
CH05103,0
CH05104,0
CH05105,0
CH05106,0
CH05107,0
CH05108,0
CH05109,0
CH05110,0
CH05111,0
CH05112,0
CH05113,0
CH05114,0
CH05115,1
CH05116,1
CH05117,1
CH05118,0
CH05119,0
CH05120,0
CH05121,0
CH05122,0
CH05123,0
CH05124,0
CH05125,0
CH05126,1
CH05127,0
CH05128,0
CH05129,1
CH05130,1
CH05131,0
CH05132,0
CH05133,0
CH05134,1
CH05135,0
CH05136,0
CH05137,0
CH05138,1
CH05139,0
CH05140,1
CH05141,0
CH05142,0
CH05144,0
CH05145,0
CH05146,0
CH05147,0
CH05148,0
CH05149,0
CH05150,1
CH05151,0
CH05152,0
CH05153,1
CH05154,1
CH05155,0
CH05156,0
CH05157,0
CH05158,0
CH05159,0
CH05161,0
CH05162,1
CH05164,0
CH05165,0
CH05166,0
CH05167,0
CH05169,1
CH05170,0
CH05171,0
CH05172,0
CH05173,1
CH05174,0
CH05175,0
CH05177,0
CH05178,0
CH05179,1
CH05180,1
CH05181,0
CH05182,0
CH05183,0
CH05184,0
CH05185,0
CH05186,0
CH05187,0
CH05188,0
CH05189,1
CH05190,0
CH05192,0
CH05194,0
CH05195,0
CH05196,0
CH05197,0
CH05198,0
CH05199,0
CH05200,0
CH05201,0
CH05203,0
CH05205,1
CH05207,1
CH05209,1
CH05210,1
CH05211,0
CH05212,1
CH05213,0
CH05214,1
CH05215,0
CH05216,0
CH05217,1
CH05218,0
CH05219,0
CH05220,1
CH05221,0
CH05222,1
CH05223,0
CH05224,0
CH05226,0
CH05227,0
CH05228,0
CH05229,0
CH05230,0
CH05231,0
CH05232,0
CH05233,0
CH05234,0
CH05235,0
CH05236,1
CH05237,0
CH05239,1
CH05240,0
CH05242,0
CH05243,0
CH05244,0
CH05245,0
CH05246,0
CH05247,1
CH05248,0
CH05249,0
CH05250,0
CH05251,0
CH05252,0
CH05253,0
CH05254,0
CH05255,0
CH05256,1
CH05257,0
CH05258,0
CH05259,1
CH05260,0
CH05261,1
CH05262,0
CH05263,0
CH05265,0
CH05266,0
CH05267,0
CH05268,0
CH05269,0
CH05270,0
CH05271,0
CH05272,0
CH05273,1
CH05274,1
CH05275,1
CH05277,1
CH05278,0
CH05279,1
CH05280,0
CH05282,0
CH05283,0
CH05285,1
CH05287,0
CH05288,0
CH05290,0
CH05291,0
CH05292,0
CH05294,0
CH05295,0
CH05296,0
CH05297,0
CH05298,0
CH05299,0
CH05300,0
CH05301,0
CH05302,0
CH05303,1
CH05304,0
CH05305,0
CH05306,1
CH05307,0
CH05308,0
CH05309,0
CH05311,0
CH05312,0
CH05313,0
CH05314,0
CH05316,0
CH05317,0
CH05318,1
CH05319,0
CH05320,0
CH05321,0
CH05323,0
CH05324,0
CH05325,0
CH05327,0
CH05328,0
CH05329,0
CH05330,0
CH05331,1
CH05332,0
CH05333,1
CH05334,0
CH05335,0
CH05336,0
CH05337,1
CH05341,0
CH05342,0
CH05343,0
CH05344,1
CH05345,0
CH05346,0
CH05347,0
CH05348,0
CH05349,0
CH05350,1
CH05351,0
CH05352,0
CH05353,0
CH05354,0
CH05355,0
CH05356,1
CH05357,0
CH05358,0
CH05359,1
CH05360,0
CH05362,0
CH05364,0
CH05366,0
CH05367,0
CH05368,0
CH05369,0
CH05370,0
CH05371,0
CH05372,0
CH05373,0
CH05374,1
CH05375,0
CH05376,0
CH05378,1
CH05379,0
CH05380,0
CH05381,0
CH05382,0
CH05383,0
CH05384,0
CH05385,1
CH05386,0
CH05387,1
CH05389,0
CH05390,0
CH05391,0
CH05392,0
CH05394,0
CH05395,0
CH05396,1
CH05397,0
CH05398,0
CH05399,0
CH05400,0
CH05402,0
CH05403,0
CH05406,0
CH05407,1
CH05408,0
CH05409,1
CH05410,0
CH05412,0
CH05413,1
CH05414,0
CH05415,0
CH05416,0
CH05417,0
CH05418,0
CH05419,0
CH05420,0
CH05421,1
CH05422,1
CH05423,0
CH05424,0
CH05425,0
CH05426,0
CH05427,0
CH05428,0
CH05429,0
CH05430,1
CH05431,0
CH05433,0
CH05434,1
CH05436,0
CH05437,0
CH05439,0
CH05440,0
CH05441,0
CH05442,0
CH05443,1
CH05444,1
CH05445,0
CH05446,0
CH05447,0
CH05448,0
CH05449,0
CH05450,0
CH05451,0
CH05452,1
CH05453,0
CH05454,0
CH05455,1
CH05456,0
CH05457,0
CH05458,0
CH05459,0
CH05460,0
CH05462,0
CH05463,0
CH05464,1
CH05465,0
CH05466,1
CH05467,0
CH05468,0
CH05470,1
CH05471,0
CH05472,0
CH05473,0
CH05474,0
CH05475,0
CH05476,0
CH05477,0
CH05478,0
CH05479,0
CH05480,0
CH05481,0
CH05482,0
CH05483,0
CH05484,0
CH05485,1
CH05486,0
CH05487,0
CH05489,1
CH05490,1
CH05491,0
CH05492,0
CH05493,0
CH05494,0
CH05496,1
CH05497,0
CH05498,0
CH05500,0
CH05501,0
CH05502,0
CH05503,0
CH05506,0
CH05507,0
CH05508,0
CH05509,0
CH05510,0
CH05512,0
CH05513,0
CH05515,0
CH05516,0
CH05517,0
CH05518,0
CH05519,0
CH05520,0
CH05521,0
CH05522,0
CH05523,0
CH05524,0
CH05525,1
CH05526,0
CH05527,0
CH05529,0
CH05530,0
CH05531,0
CH05533,0
CH05534,0
CH05535,0
CH05536,0
CH05537,0
CH05538,0
CH05539,0
CH05540,0
CH05541,0
CH05542,0
CH05543,0
CH05544,0
CH05545,0
CH05546,0
CH05547,0
CH05548,0
CH05550,1
CH05551,0
CH05552,0
CH05554,0
CH05555,0
CH05556,0
CH05557,0
CH05558,1
CH05559,0
CH05560,0
CH05561,0
CH05562,0
CH05563,0
CH05564,0
CH05565,0
CH05566,0
CH05567,0
CH05568,0
CH05569,0
CH05570,0
CH05572,0
CH05573,0
CH05574,0
CH05575,0
CH05577,0
CH05578,0
CH05579,0
CH05580,0
CH05583,0
CH05584,1
CH05585,0
CH05586,1
CH05587,1
CH05588,0
CH05589,1
CH05590,0
CH05591,0
CH05592,0
CH05593,1
CH05594,0
CH05595,0
CH05596,1
CH05597,0
CH05598,0
CH05599,0
CH05600,0
CH05602,1
CH05604,1
CH05605,0
CH05606,0
CH05607,0
CH05608,0
CH05609,1
CH05610,0
CH05611,1
CH05612,0
CH05613,0
CH05615,1
CH05616,0
CH05618,0
CH05619,0
CH05621,1
CH05622,0
CH05623,0
CH05624,0
CH05625,0
CH05626,0
CH05627,0
CH05629,1
CH05630,0
CH05631,1
CH05633,0
CH05634,0
CH05635,0
CH05636,0
CH05637,0
CH05639,0
CH05640,0
CH05641,0
CH05642,0
CH05643,1
CH05644,0
CH05645,0
CH05647,0
CH05648,0
CH05649,1
CH05651,0
CH05652,0
CH05653,0
