channel_id,title,actual_label,prob_lr,prob_rf,prob_xgb,stagnation_prob
UCOUpxdk0VyW9DIsmGqezl9g,율이 Yulii,1,1.0,0.986,1.0,0.995
UC-SmuIHMG2HPDFUOBRu5LnA,Future Neighbor,1,0.999,0.987,1.0,0.995
UCrnEfgTKtQa945F-QwtgDXw,트롯가왕,1,0.999,0.986,1.0,0.995
UCdsMYSBOdR2rJUp983aMW-Q,abbapraise 아바프레이즈,1,0.999,0.987,1.0,0.995
UCpGMU_af39h181K5yYba5DQ,예블리즈,1,0.998,0.988,1.0,0.995
UCJMMSPO-0YnhxRWfGOPmqvA,현주zutube,1,1.0,0.986,1.0,0.995
UCc4OuY3PeWklqBzQ3ySi3xA,트래블튜브,1,0.998,0.987,1.0,0.995
UCTfYaPLS4CbJbOmsho0hrbA,준식이 joonsigi,1,1.0,0.985,1.0,0.995
UCy5OjPJk87YCHNgd3qg2N9A,단미호유튜브,1,1.0,0.985,1.0,0.995
UC5Mtt2WIemzXJIjC64gV2EA,룰루랄라 스토리랩- Lululala Story Lab,1,1.0,0.985,1.0,0.995
UCUiyNd-JORpW9Mokxoirf_w,코코비 게임 세상,1,0.998,0.987,1.0,0.995
UC3Md9z1EkkGs8htNkRG3Vew,CAMAN카맨,1,1.0,0.985,1.0,0.995
UC64gPmK_7M8ico-S3oNHeDQ,김아내,1,0.998,0.988,1.0,0.995
UCwZMmIVr07VLAfNcuqg9LZA,다비치 DAVICHI,1,1.0,0.985,1.0,0.995
UC3bHFRThkXGB9RsS1PafV7A,앗무만 ATMUMAN,1,1.0,0.985,1.0,0.995
UCwMXUGZsBfy7fqbPrAV21pQ,관찰남,1,0.998,0.987,1.0,0.995
UCYuiS1EYw54dEJVzseQSYXw,별별역사,1,0.998,0.987,1.0,0.995
UCEeEvBzuFze0gMn0FF55h8w,Dasha,1,1.0,0.985,1.0,0.995
UCyUe2pNRUEMD_MMJaVAgapA,sankokesl,1,1.0,0.985,1.0,0.995
UC4XvVP_nMy-CsyUDQMvoVsw,심영세원,1,0.998,0.987,1.0,0.995
UCIn1p2ZbhOo8fyZp1S60uGg,백지영 Baek Z Young,1,1.0,0.985,1.0,0.995
UCPFW4r1nmTdtQUsAJSno1iA,속촌아씨,1,0.997,0.987,1.0,0.995
UCtdz9LWNNQKUg4Xpma_40Ug,Disney Plus Korea 디즈니 플러스 코리아,1,1.0,0.985,1.0,0.995
UC8RgkxM4r-peMjEY-jI4Jzw,고수 GOSU,1,1.0,0.985,1.0,0.995
UCOYl4i2HmddYjV2eoxVjlUw,붐바야,1,0.999,0.986,1.0,0.995
UCv7GXAFUhPU4vjkxqMy6Qjw,레오팡 LEO PANG,1,1.0,0.985,1.0,0.995
UCknnfn7OgYornAGZuP7EElQ,허준허튜브 (상식퇴비),1,1.0,0.985,1.0,0.995
UCsHXnEd4VtCcKC0SN6ajBGA,로동복어,1,0.999,0.985,1.0,0.995
UCD0WWP9-oZZbu_IJTeDlPbg,Kyung6Film,1,1.0,0.985,1.0,0.995
UCx9XehuwNHLqWPt4U0t0LRA,아모띠 amotti,1,0.999,0.986,1.0,0.995
UCxyH4YNL9pnFZwnDXiZ3DrA,로트키,1,1.0,0.985,1.0,0.995
UCTHS-A8QJPMKq_vQEf22O2Q,쓰복만,1,1.0,0.985,1.0,0.995
UC4E2S3T37vJ3Mi2sYrnhE_Q,살림스케치salimsketch,1,1.0,0.985,1.0,0.995
UCd1IveTHngTF8ZyQ9f6uchw,공구왕황부장,1,0.998,0.987,1.0,0.995
UC1x03ziDHPct2xTikLyfMDA,킥서비스,1,0.998,0.986,1.0,0.995
UC9thBCaJFBYplPEGTJJeBvw,프로파일럿,1,1.0,0.984,1.0,0.995
UCi60foKkkMcxUCJz6SJc-xg,정박수,1,1.0,0.984,1.0,0.995
UCA3bAoHG0C6hdnmv-pqhXLA,슈퍼액션스터디 - 슈퍼홈스쿨,1,1.0,0.984,1.0,0.995
UCo33r3SAf5z9MS-lrXV2aOQ,로빈,1,0.997,0.987,1.0,0.995
UCcv0r75ndl3rG9oQKhygHRw,박성찐이야,1,0.999,0.985,1.0,0.995
UC9kUsuu1Giqa9V855EWa7-A,채널주인 여깄음,1,1.0,0.984,1.0,0.995
UCZ-DFI8U9sKnc4wkVluyuYw,아이돌 옐리,1,0.997,0.987,1.0,0.995
UCZ8Q7rTUS-c78pinHoCVPrQ,오동지 ohdongji,1,0.999,0.985,1.0,0.995
UCRJX0GaKcnMO4L2EttYqPaQ,로미쌤,1,1.0,0.984,1.0,0.995
UCj00eA-Q0lokXCA6JAa_grw,NOL 인터파크투어 ,1,1.0,0.984,1.0,0.995
UC6h_g9PTh4FcuCrbghYGs-g,Korean drama Trend,1,1.0,0.984,1.0,0.995
UCGuE0TrBNIZKfordUwAQe2w,알파,1,1.0,0.984,1.0,0.995
UCakRF1Lu1ZuZR7Dx2B7b_9g,케챱 (K-pop.Chap),1,1.0,0.984,1.0,0.995
UC0_cMG9byuhVWclt49eIfbQ,chang yong kang,1,1.0,0.984,1.0,0.995
UCUXYT0CqvBx1ZysmxSW7EDQ,공혁준 RHDGURWNS,1,1.0,0.984,1.0,0.995
UCMOOio1GZ50OeJT58DGBQCA,삼식,1,0.999,0.984,1.0,0.995
UC4CO3nLRunq2XZ7H3EZvAGw,rinaworld 리나월드,1,1.0,0.984,1.0,0.995
UCsDlSz-jElTUwuFvKp8prIg,준선유,1,1.0,0.984,1.0,0.995
UCySazY_iw_LlE6WHyQXuZ6g,고고다이노,1,1.0,0.984,1.0,0.995
UCipPJH21NhG02pClcnfQOsg,재형이 동생 세승이,1,1.0,0.984,1.0,0.995
UCo2qwN2FUPnLLJjHXNusFyQ,루리 TV,1,1.0,0.984,1.0,0.995
UCrf5zJvtOoZkIviA3IZNPGA,천재견 사월이sawol,1,1.0,0.984,1.0,0.995
UC5FOkD_OiUjgCOawXaK0wCg,고효주HyojooKo,1,0.999,0.985,1.0,0.995
UCIV6JumWAbibVJAfCuJTYmg,CalBap-캘리포니아 건강밥상,1,0.999,0.984,1.0,0.994
UCZe_uzZ6VLMXtwW2V9-VvpQ,Sophie Kim _하은,1,0.999,0.985,1.0,0.994
UC8crDshuTrsK1gTD4O28QeQ,벼바다,1,1.0,0.983,1.0,0.994
UCXoIy_n2053GK6FiuBWXgHw,Savislook,1,0.996,0.987,1.0,0.994
UC5Krj_2tLJgAyT7SwTsAIzQ,Dragon Lake,1,0.999,0.984,1.0,0.994
UCxPtZG-Ou0v1hsUzXXu2Jsg,이수근채널,1,1.0,0.983,1.0,0.994
UCUcIUXAGcXpnu8gH1HKL6Tw,신별 ShinByul,1,1.0,0.983,1.0,0.994
UC1JuasrqdCZ63YhKhxZ0J3w,스튜디오헤이 StudioHey,1,1.0,0.983,1.0,0.994
UCBb9HTiHgieWmcX6GHp64dg,대처법,1,1.0,0.983,1.0,0.994
UCefkahbVepsvh2fv5xpYjLA,마끼아또,1,1.0,0.983,1.0,0.994
UCLh1Ar5Rw5UckEFiH8KqVaA,빠퀴2tv,1,0.999,0.984,1.0,0.994
UCWvKpZEp5dFsKZiBDxkXHvw,KIMDAX킴닥스,1,0.997,0.986,1.0,0.994
UC_FPZVB4NDds9JUEOjmI5cQ,Suzevi ASMR,1,0.998,0.985,1.0,0.994
UCvaESCSCQETb-r6KkVrhuhA,잼스티비 GemsTV,1,1.0,0.983,1.0,0.994
UCwqLV5Xndjm4Wztk-c7IMjQ,미국주식 - 해달선,1,0.998,0.985,1.0,0.994
UCOg8XvvmbEOMakXyWpHUGyQ,MeowMi Family Show－인기동요,1,1.0,0.983,1.0,0.994
UCdWgRSfttvDucq4ApcCg5Mw,스브스밥집,1,1.0,0.983,1.0,0.994
UChtA94Vp7LxwHtmcCcwjlTg,The World Of Erina,1,0.996,0.987,1.0,0.994
UC2kPiS-BcDwSei14ORViq5A,스튜디오 드리밍 [Dreaming],1,0.996,0.986,1.0,0.994
UC2I-egsAj7QInHC7fYNEZ4Q,doomandoo두만두,1,0.999,0.984,1.0,0.994
UCYP2aGg8h_9JHqNQBHNKp7w,Loud G,1,1.0,0.983,1.0,0.994
UCPbxBhcZMq8NMq0EuXxGuAQ,중고차파괴자,1,0.996,0.987,1.0,0.994
UCktGIKibxR7agzlF62Mbx2A,채정안TV,1,0.997,0.986,1.0,0.994
UCvkmzO8z5LACEW7iNwTiJRA,준콩 Joon-Peanut,1,1.0,0.983,1.0,0.994
UCXOLqHsi_mxJdTIqU7B6OmQ,천양 ChunYang,1,1.0,0.983,1.0,0.994
UCBKMc4nWENw_WGqkbzx-Lrg,STN SPORTS,1,1.0,0.983,1.0,0.994
UCyWmhgJ3talmk3H5GdmjHfg,Gadget Seoul,1,0.996,0.987,1.0,0.994
UC4gufpwYMB81tHLQplmRk2w,코코비 장난감 - 어린이 놀이 교실,1,1.0,0.983,1.0,0.994
UCcQ3rsk3vO-qaJkWYva5-KQ,미란이 MIRANI,1,1.0,0.983,1.0,0.994
UCYJlyU_Lf33eqp6KWYONTGg,kinda cool 아영,1,0.998,0.984,1.0,0.994
UC7Po54tNbXvhhFfzY6u97AQ,Snowbaby瑞雪,1,0.999,0.983,1.0,0.994
UCWq4TrLFdm7fFzCb4uo2V4Q,인어교주해적단 The Pirates,1,0.999,0.983,1.0,0.994
UC4MfUqhvA1LxpxE-67sJGbw,다나나,1,0.997,0.986,1.0,0.994
UCdRDEMsLzDgoXY0AdQ1yN8g,새라새라 게임채널,1,1.0,0.983,1.0,0.994
UCyd1CqZOH0aVlaKGy5siOJQ,토이푼[TOYPHOON],1,0.998,0.984,1.0,0.994
UCo0ac-PFaLaF75P-o0tGR2w,Imdoong임둥,1,1.0,0.982,1.0,0.994
UCCcE8BpgFqKRP3au8tEUrAw,POWER MOVIE,1,0.996,0.986,1.0,0.994
UC90e98KEAmW-qHLwGt6FAYg,Rio y Christian,1,1.0,0.982,1.0,0.994
UC-iE0mevXpSNmadP27Xm7lQ,Healing우현진,1,0.998,0.984,1.0,0.994
UCEUL40nXJFCBv9z3Q1V6YMQ,면상들,1,1.0,0.983,1.0,0.994
UCNlspuBYplH1pqkgpV28TKQ,바다 리 Bada Lee,1,0.999,0.983,1.0,0.994
UCE6AtwYeCwmlqmY0nJGDmlA,Jeaniich,1,1.0,0.982,1.0,0.994
UC6yQArYJNJQb3PVqP5jhnAQ,파우더룸,1,1.0,0.982,1.0,0.994
UC0uDM1xZMNBAoW2xnzhAQ7g,Teccboi Wonie,1,1.0,0.982,1.0,0.994
UCBZqXn7fw4pMwk9vFYkoDJQ,파이.D,1,1.0,0.982,1.0,0.994
UCAP8OK0GHFbnL5OkY3j04Xw,ENA 이엔에이,1,1.0,0.982,1.0,0.994
UCi78yBUmsh0P88rTZ4nhMRg,약속해TV,1,1.0,0.982,1.0,0.994
UCZphZ5MKyRJPyS2WHTpHmIg,TAU,1,1.0,0.982,1.0,0.994
UCXnXkf3DrZjdy1uwXO77drw,돼지런한 생활 Let Eat Be,1,1.0,0.982,1.0,0.994
UCycaNdMyMxurN4v8LZkMZ5g,American Music Awards,1,1.0,0.982,1.0,0.994
UCQBl5ytG10Y_tnWe__8kUJw,지덥,1,1.0,0.982,1.0,0.994
UCz_Ny4VP2kVss2DX7UfTukQ,슬기로운 캠핑생활,1,0.998,0.984,1.0,0.994
UCdtY7-_h-KgBTXHJfTk8wwQ,본격사studio,1,1.0,0.982,1.0,0.994
UCs4zYuMKbsEjRultr9J51rA,Lineage M,1,1.0,0.982,1.0,0.994
UCjF1QO9lFMggd8X_L1ZfRMg,웃음박재,1,1.0,0.982,1.0,0.994
UCw0qRuJiJ47bLwUc_YgS3TQ,박병일의 명장본색,1,0.997,0.984,1.0,0.994
UCO6E0ddL7e1iC_2DC7Po42w,더보이즈 (THE BOYZ),1,0.999,0.983,1.0,0.994
UCI5ZLTYfIfXaeubb2ny0kNA,해피해은 HAEPPY,1,1.0,0.982,1.0,0.994
UCxuZNOyjmFDN2ZtSk81LErg,다혜가다했다DAHYE,1,0.999,0.983,1.0,0.994
UCiBKp3KgsQCYT9Z2XxdBpbQ,스튜디오 플래닛(오키클럽),1,1.0,0.982,1.0,0.994
UCVXN28NHfphVQrdtjooc33g,백상예술대상,1,1.0,0.982,1.0,0.994
UCKdG852wkTilD2Qyd74kgqg,SOOJIN,1,0.995,0.986,1.0,0.994
UC2qjHK7wWxzb8mF9lgf7uXQ,NICKY니키,1,1.0,0.982,1.0,0.994
UCxOZuUWuWhnsJqnlTcLlSYg,VLENDING 블렌딩,1,1.0,0.982,1.0,0.994
UC7UpsGDtCKRWhhBtvz8G2QQ,빡성민,1,0.998,0.983,1.0,0.994
UC3Gtk0sWC1NaN5PYW_hbcjg,대한민국 트로트,1,1.0,0.982,1.0,0.994
UCpytJcJAaNmU_KK8B9IBaeg,김동우,1,1.0,0.982,1.0,0.994
UCbqaq8v32GGyaz9AGyW3ryA,JUCY(쥬씨),1,1.0,0.982,1.0,0.994
UCWq9wRjQXYC8i486uVLysUA,이도원,1,0.996,0.985,1.0,0.994
UCGL1HpBEAER2nnfpohNF2CQ,MKH,1,1.0,0.982,1.0,0.994
UCj2F8cffH0wrnO-1ShEsFIw,HEADLINER,1,1.0,0.982,1.0,0.994
UC9G7V6-HU_Cg7-yWLO1rH6w,PURE.D퓨어디,1,0.999,0.983,1.0,0.994
UCnXuSso6ypX2NVrl8_2TwfQ,쌈바홍 ssambahong,1,1.0,0.982,1.0,0.994
UCLFaCqu7-o7NGqn_-uyKPBQ,만득유튜브,1,0.998,0.984,1.0,0.994
UCNRIF-OrO0DuzMMncbn0i1Q,레코드대장 RecDJ,1,1.0,0.982,1.0,0.994
UCxtx3Q0HGU3BwRMmmdP5WuA,J2N 제이투앤,1,1.0,0.982,1.0,0.994
UClMlpXq4tDryAioZisO7JJQ,굿샷김프로,1,1.0,0.982,1.0,0.994
UC1u8CrhFa4eHTLgyv3LkE1Q,이익주는 역사,1,0.999,0.982,1.0,0.994
UC84IlgY5HIzxKBZOt8XM5UA,MPLAY : 엠플레이,1,0.998,0.983,1.0,0.994
UC3W3kEmrLrRfec2qNrE6w4A,NS남순,1,1.0,0.982,1.0,0.994
UCEDR6NjX2VL5S3DJ1ENRIYw,오징어커플,1,0.997,0.985,1.0,0.994
UC5IRvBJPLTMF4-FhyVmbBbQ,림툰_limtoon,1,0.998,0.983,1.0,0.994
UCvvY6E0QJV0MEQBaHkTPrsg,Jenny Crush,1,0.997,0.984,1.0,0.994
UCFOixeB9gbedVi6uwnsfHMQ,1분과학,1,1.0,0.981,1.0,0.994
UC6SSDAsu4E06brZG-QNSuLw,행가집,1,1.0,0.981,1.0,0.994
UCqeOY0kedIjM9cfuBes4BSQ,Red Tomato 빨간토마토 (빨간토마토),1,0.999,0.982,1.0,0.994
UCbe-PEd4rZPMmITwDvgBj1Q,여에스더의 에스더TV,1,0.999,0.982,1.0,0.994
UCLdl1VFKWH0rgFJMpVatyjQ,이십세들,1,0.999,0.982,1.0,0.994
UCBdM5ciwKyTFbg-AuLG0S0g,CK Animation School_2016-2018,1,1.0,0.981,1.0,0.994
UCtup7usUjs_RshOX5LniH-g,Cosmograph,1,1.0,0.982,1.0,0.994
UCm5werRkN6o36iijZgQCoYg,나야 라라 LaraLand,1,0.997,0.984,1.0,0.994
UC2XRTuTf0tnqcNBcWeaCVFg,Hale In Ocean 정혜일,1,1.0,0.981,1.0,0.994
UCqdpJERE1l0J-mSIYsrDUmw,Yuni Marimba 유니 마림바,1,0.998,0.983,1.0,0.994
UCOByc6akvw27KbJ1p9jn3BQ,누가영Nugayoung,1,0.994,0.987,1.0,0.994
UCCRGdPlx7Ljl3R5fYC8nP4Q,DDIBOO띠부,1,0.999,0.982,1.0,0.994
UCJXMNizr-q3Ec-rLTy0-VPg,ABK Crew,1,0.998,0.983,1.0,0.994
UCmEvondZWMdSeOBj4NSFU7A,뉴띵 NDD,1,1.0,0.982,1.0,0.994
UCQQvu8RFI5XQN8nszlCMLwQ,RTX TOP 10 (Rtx's),1,1.0,0.981,1.0,0.994
UC_TSipLXGlfnrHdZubDzHpQ,딩가의 회전목마 DINGA,1,0.999,0.982,1.0,0.994
UCSWLx_GQlGADYipEyXF2Mxg,잡초,1,0.999,0.982,1.0,0.994
UCJg9L0svbnuPcjOcqLbi_3g,김인호TV,1,0.997,0.984,1.0,0.994
UCqwNCDzQBfw2seMRJpL-RWg,츄정ChuJeong,1,1.0,0.981,1.0,0.994
UCGL-5gylJg3G7T7epVBnhtQ,첫째아들,1,0.999,0.982,1.0,0.994
UCTTi-KZ8Vt3_mWUH3ROMRIQ,KAKTUBE_칵튜브,1,0.994,0.987,1.0,0.994
UCymheuyZLem9B6XEAn0Iflg,겜창 연구소,1,1.0,0.981,1.0,0.994
UCyH1TrcPQnJJmGco7JYdvAQ,스튜디오이현기,1,1.0,0.981,1.0,0.994
UCGMsFBPnR2hcrM0xGoFUL-A,박병진용사,1,0.997,0.984,1.0,0.994
UCv3q6A4tV6bv9APp7iccKWQ,진진JINJIN,1,0.994,0.986,1.0,0.994
UCtgxU2xLh0e_plv0G7wdU9w,큐영 QYOUNG,1,0.998,0.983,1.0,0.994
UCy7h0uG0btRO-X9rx8oPdgg,JIHOSTOY,1,1.0,0.981,1.0,0.994
UCJxcYB0Ksc7ak22cD2Eeuyw,Badanamu China,1,1.0,0.981,1.0,0.994
UCkrDEGNM3mqZXHk2MfnOjMw,YENA(최예나),1,0.998,0.982,1.0,0.994
UCeV3vfUkFPdPud2WlHNQrOg,정유빈,1,1.0,0.981,1.0,0.994
UCF2NEA2Wkhcc4vHchkXGeWQ,백곰선배,1,0.998,0.983,1.0,0.993
UC1RsGgbqw0FtgDexi6eMWGA,Todayommmi,1,0.996,0.984,1.0,0.993
UCseQwRnOVOdcYzZWZkViYCw,K-UA CREW,1,0.998,0.983,1.0,0.993
UCdvJpfFLFt8mpGqX-4790Fw,렉쳐노트마술배우기,1,0.999,0.981,1.0,0.993
UC1CJvCb5_NLK0AT_aEZ8qLg,류현준 official,1,0.996,0.984,1.0,0.993
UCeyNFvgkx5O2i515M1tIOAg,wonhee,1,0.999,0.981,1.0,0.993
UC3LNd5iXQZ8WinaOpfwXveA,온다람,1,0.993,0.987,1.0,0.993
UCmKH1rkv9OJ1FjM64qbeLVw,코코몽 COCOMONG TV - Cartoon & Song For Kids,1,1.0,0.98,1.0,0.993
UCO-7CJCtOqw1yqh3y8owGfg,헤이즐 Heizle,1,0.997,0.983,1.0,0.993
UCHDFA44cYmzocBlosaWADog,배윤정TV Bae Yoon Jung,1,1.0,0.98,1.0,0.993
UCZ7doeBcNloN5tJySQtcQCQ,말하는동물원 뿌빠TV,1,0.994,0.987,1.0,0.993
UC8dFtyqgm7UqLcJD_sYVJ4w,정준하하하,1,0.998,0.983,1.0,0.993
UCJv-aHMb6IymibNjTo_laGw,나의 노래 메모장,1,0.996,0.984,1.0,0.993
UCziJWXHB2HIU_PvjxypjPIA,ToyMoon토이문,1,1.0,0.98,1.0,0.993
UCnPJ_Jcl-dwFuGgqhavB8oA,오하빵 Ohhabbang,1,1.0,0.98,1.0,0.993
UCj32fFKNF-KLFgeKXmjrKag,레오티비 LEOTV,1,0.997,0.983,1.0,0.993
UCHEEOe5SnxYau9puXKtqx5Q,Abby P,1,1.0,0.98,1.0,0.993
UClZYXrFXxFGu-mif_fGrIhQ,It's me GRASS 그래쓰,1,0.999,0.981,1.0,0.993
UCj1KflywXgVrOzQbuEyij3Q,youngkang영강,1,0.997,0.982,1.0,0.993
UCOYC5dyftpdpnb5x2PL-9_A,DesertEagle 데저트이글,1,0.998,0.982,1.0,0.993
UCdbrnIf-z6jMZbOxQvvWvUA,hyunrecord,1,0.994,0.986,1.0,0.993
UCc4lFNN1eR5Qf1JMUgECaKg,Thomas Kim,1,0.998,0.982,1.0,0.993
UC_ciG9e3jvhi6nu-fkJqyXg,Team_SeikaTV(팀세이카),1,1.0,0.98,1.0,0.993
UCAhBeUD1NuYKh31dsKIt_ag,Jangdol Drum,1,0.998,0.982,1.0,0.993
UCmMipnxqC5rcx0nxQPGrajg,유상무TV,1,0.999,0.981,1.0,0.993
UC0QKPVkRkvgupomhEYK1Uhw,나몰라패밀리 핫쇼,1,0.999,0.981,1.0,0.993
UCcuFVzMsVtiNjo1bMc0NV7g,차박차박 Chabak,1,0.994,0.985,1.0,0.993
UCTZPZo3xuW5k6RkhlVaJ0jQ,김뚜띠,1,0.993,0.986,1.0,0.993
UCltyil2FaQZZ4kUNinKkKmw,SK하이닉스 [SK hynix],1,1.0,0.98,1.0,0.993
UCxgrFu6aKr-x0QLbLoS2sUg,트니트니 Tuni&Friends,1,1.0,0.98,1.0,0.993
UCJH_cUEHrpTSPU3Xr94yddw,싱송은송,1,0.999,0.981,1.0,0.993
UCDdvY2ntkRKaul_OQT89jAQ,Violinist Jenny Yun,1,0.998,0.981,1.0,0.993
UC4rq1U0Ful9TB6jujGDRIvA,엄지 Thumb K,1,1.0,0.98,1.0,0.993
UCONPqkI_o3TCpvTVFoAqDoA,에익쿠,1,0.995,0.984,1.0,0.993
UC_tcp7hQs-LLXdQ32GbyFjw,강지민 통기타가수 Kang Jimin Live concert,1,0.998,0.982,1.0,0.993
UC-Ju7Rpx4V9XsrLh2DXh9tw,BELLA&LUCAS 벨라앤루카스,1,0.999,0.98,1.0,0.993
UCugz3-UlkX2P77PtK1Ju0RA,쏘이Soy The World,1,0.995,0.984,1.0,0.993
UCQ5kW39ODbSNAaF5vSVmSFw,Jeremy Choi,1,0.995,0.984,1.0,0.993
UCWeTWaC2WFKG2H3hjxYaOhg,솔로몬코드 SOLOMONCHORD,1,0.999,0.981,1.0,0.993
UCt15X5eHLwyP8PpNtQTkuDQ,Official dopa,1,0.991,0.988,1.0,0.993
UCQlH1ppmoTCx9F1vV0XqPtg,체스CHES,1,0.996,0.983,1.0,0.993
UC8oSz7z588lRvzmUhLMajsQ,극락직업,1,1.0,0.979,1.0,0.993
UCDMbHxjACpyM0qigvBms_Vw,똑똑키즈 TokTok Kids,1,0.996,0.983,1.0,0.993
UCFgHVn4uiXW9d-eq13ubI3g,김빠른,1,0.999,0.98,1.0,0.993
UCY1Q5h_nPk3onGmTcepLorg,이상한 나라의 꿩유갱 Sandy Kwon,1,0.997,0.982,1.0,0.993
UCJ-0TgzI1ZtaO95cS7nQ12w,취미부자 밥팅 Babting,1,0.997,0.982,1.0,0.993
UCFZDDApnxYxWJ5MnuI29ryw,이병욱,1,0.991,0.988,1.0,0.993
UCty6wr0aE3QJ2RUqUZsgrmw,타로호랑,1,0.993,0.985,1.0,0.993
UCpIQ_PHkivL2HHWfdgO-Urw,W24,1,0.999,0.98,1.0,0.993
UCahWSp7DQGJfXU1UX2BuqBA,Queen Solmee,1,0.994,0.984,1.0,0.993
UCvK--hbdMSweh6ExmiY4ljA,1분 뮤지컬,1,0.993,0.985,1.0,0.993
UC4tDIV3s9TZG0FT30tDflIg,코치 알버트 Coach Albert,1,1.0,0.979,1.0,0.993
UCbv7Dcn5iNrAyd3GwgVHkIQ,Disney Korea,1,0.999,0.98,1.0,0.993
UCbcyIqLwdqo3ZfaRxAHLUKQ,Dalmiin,1,0.995,0.983,1.0,0.993
UCyHvSKT_bLDYpkv1JjjsLAg,풍월량,1,0.995,0.983,1.0,0.993
UChbSCzDSKP_m4V5aEX1bmCA,운학 TV,1,0.999,0.98,1.0,0.993
UCyUH1C9_ozagToXDxgGjFGg,엄마의 요리백과,1,0.996,0.983,1.0,0.993
UCU8H8oODmFTD2YqFvCCdQ6w,리드무비,1,1.0,0.979,1.0,0.993
UC2DoArGfQAO8wkkr3E1BHnw,틱탁아티스트,1,1.0,0.978,1.0,0.993
UC-VpSzzDWARAYF6gpChqukw,뮤니버스,1,0.996,0.982,1.0,0.993
UC6xWZn2suKPqAQkidOiMeHg,에렌디라,1,0.992,0.987,1.0,0.993
UC-rL1o4m5UamXY7lzGw8P8Q,찌워니의 삶,1,0.999,0.98,1.0,0.993
UCbbuHjMbzBn4fVd1hV77Ddw,HOLLAND,1,1.0,0.978,1.0,0.993
UCYem2JD_caJVlz8cXtC1LZg,보석수집가,1,1.0,0.978,1.0,0.993
