channel_name,category,subscriber_raw,subscriber_count,total_views_raw,total_views,video_count_raw,video_count,created_date,latest_video_date,days_since_latest_video,is_churned,youtube_channel_url,youtube_channel_id
Release - Topic,미분류,3,3,0,0,0개,0,2025-07-30 16:54:01,,,,https://www.youtube.com/channel/UChPoP66FWbcVrZ6M-Y2j05Q,UChPoP66FWbcVrZ6M-Y2j05Q
Release - Topic,미분류,3,3,0,0,0개,0,2025-08-07 10:30:19,,,,https://www.youtube.com/channel/UCxHmvswpY_5S3Ltzq5NCxrg,UCxHmvswpY_5S3Ltzq5NCxrg
Release - Topic,미분류,3,3,0,0,0개,0,2025-08-22 21:27:29,,,,https://www.youtube.com/channel/UCm-p8F8K6iaZOU0G34J9Vow,UCm-p8F8K6iaZOU0G34J9Vow
napsea - Topic,미분류,3,3,23만,230000,1개,1,2025-09-10 22:47:22,,,,https://www.youtube.com/channel/UC_45xbT1E9hj1nEHAra6rsg,UC_45xbT1E9hj1nEHAra6rsg
Release - Topic,미분류,3,3,10만,100000,2개,2,2025-11-19 16:44:50,2025-11-21 18:04:13,174.0,0.0,https://www.youtube.com/channel/UCAgfa9tgBpKHi_voNTIRCjA,UCAgfa9tgBpKHi_voNTIRCjA
Release - Topic,미분류,3,3,82만,820000,1개,1,2026-01-19 16:02:56,2026-01-22 18:03:39,112.0,0.0,https://www.youtube.com/channel/UCYM8nL0rXQK1WJn3I0sMtSw,UCYM8nL0rXQK1WJn3I0sMtSw
이혜훈,뉴스/정치/사회,4,4,1294,1294,1개,1,2016-12-14 21:47:42,2017-06-12 14:30:03,3258.0,1.0,https://www.youtube.com/channel/UCvCF2RHDQdYZweNMcukEnYg,UCvCF2RHDQdYZweNMcukEnYg
이진복,뉴스/정치/사회,4,4,1066,1066,14개,14,2013-10-01 11:47:30,2017-11-10 17:41:21,3107.0,1.0,https://www.youtube.com/channel/UCkCyDzIHT3YA08C2tDpj8wA,UCkCyDzIHT3YA08C2tDpj8wA
Piyo집수니삐요,취미/라이프,5,5,1080,1080,2개,2,2017-08-01 11:59:53,2018-07-01 19:57:07,2874.0,1.0,https://www.youtube.com/channel/UC8ni6364YqLAQGCE8EL3EDQ,UC8ni6364YqLAQGCE8EL3EDQ
신용현,뉴스/정치/사회,5,5,3657,3657,67개,67,2016-07-12 13:30:37,2019-02-13 11:25:40,2647.0,1.0,https://www.youtube.com/channel/UCWZYqjWjKow6RsUM-A08m4Q,UCWZYqjWjKow6RsUM-A08m4Q
Hanul Park,뉴스/정치/사회,5,5,2593,2593,2개,2,2013-08-26 07:41:31,2020-10-09 09:53:26,2043.0,1.0,https://www.youtube.com/channel/UCY858lfe8dISKFAK8r5BB-w,UCY858lfe8dISKFAK8r5BB-w
항정살,뉴스/정치/사회,5,5,0,0,0개,0,2014-09-14 02:35:41,,,,https://www.youtube.com/channel/UCpzhBniZeXVOpzo1d5e6C9Q,UCpzhBniZeXVOpzo1d5e6C9Q
Release - Topic,미분류,5,5,31만,310000,8개,8,2025-07-31 15:04:26,2025-08-01 18:04:58,286.0,1.0,https://www.youtube.com/channel/UCNz7uVZzNxCTfd9NoGL00OQ,UCNz7uVZzNxCTfd9NoGL00OQ
Release - Topic,미분류,5,5,0,0,0개,0,2025-11-06 18:04:43,,,,https://www.youtube.com/channel/UCotuL1PdThvpZaftE8n-NvA,UCotuL1PdThvpZaftE8n-NvA
Release - Topic,미분류,5,5,0,0,0개,0,2025-12-01 15:25:02,,,,https://www.youtube.com/channel/UCaZgv7SgVU6hccCG_5rwIUA,UCaZgv7SgVU6hccCG_5rwIUA
BangSsong - Topic,미분류,5,5,17만,170000,2개,2,2026-01-08 18:26:10,2026-01-10 18:02:09,124.0,0.0,https://www.youtube.com/channel/UC2Hh1ddjbJi35mdShx2ZChg,UC2Hh1ddjbJi35mdShx2ZChg
okjoo song,뉴스/정치/사회,6,6,932,932,5개,5,2016-12-09 17:33:26,2019-05-31 13:38:13,2540.0,1.0,https://www.youtube.com/channel/UCIcDhuyKL_wtzHMHFsUJJYg,UCIcDhuyKL_wtzHMHFsUJJYg
오제세,뉴스/정치/사회,6,6,1686,1686,16개,16,2013-10-04 17:46:27,2017-12-04 09:57:46,3083.0,1.0,https://www.youtube.com/channel/UC7hwnWjo8vbxOAak1qrI1Vw,UC7hwnWjo8vbxOAak1qrI1Vw
이원욱,뉴스/정치/사회,6,6,16,16,2개,2,2011-02-23 11:49:18,2024-11-28 15:06:26,532.0,1.0,https://www.youtube.com/channel/UCXnohvqA53diRrjW8CxOT-g,UCXnohvqA53diRrjW8CxOT-g
윤종필,뉴스/정치/사회,6,6,142,142,4개,4,2017-01-02 13:48:12,2017-01-02 14:30:35,3419.0,1.0,https://www.youtube.com/channel/UCf6rtmTgTE7IZz3A59yU1oA,UCf6rtmTgTE7IZz3A59yU1oA
전상근 - Topic,미분류,6,6,58만,580000,4개,4,2025-09-26 15:05:43,2026-05-14 23:46:45,0.0,0.0,https://www.youtube.com/channel/UC9sRBOD7Tqwd49zYacjCjhw,UC9sRBOD7Tqwd49zYacjCjhw
Release - Topic,미분류,6,6,0,0,0개,0,2025-10-27 18:06:08,,,,https://www.youtube.com/channel/UCE0eG2WhnTL8KTJHInCxGFQ,UCE0eG2WhnTL8KTJHInCxGFQ
Release - Topic,미분류,6,6,0,0,0개,0,2025-10-29 20:35:17,,,,https://www.youtube.com/channel/UC63lqpAO0atX_MUD2cl-dfQ,UC63lqpAO0atX_MUD2cl-dfQ
Release - Topic,미분류,6,6,0,0,0개,0,2025-10-29 20:10:52,,,,https://www.youtube.com/channel/UC7NPrqm4cUuO1CRTx65zKcA,UC7NPrqm4cUuO1CRTx65zKcA
Kkuek - Topic,미분류,6,6,491만,4910000,344개,344,2025-04-12 21:47:18,2026-04-24 18:01:21,20.0,0.0,https://www.youtube.com/channel/UCd8Oam9oatH0fX960YXhZsQ,UCd8Oam9oatH0fX960YXhZsQ
Ian moon 99 - Topic,미분류,6,6,5810,5810,41개,41,2025-10-01 17:33:15,2026-05-09 12:04:45,5.0,0.0,https://www.youtube.com/channel/UCEeIXFM6szWj2sdoA0QaiUA,UCEeIXFM6szWj2sdoA0QaiUA
핑구르 - Topic,미분류,6,6,101만,1010000,52개,52,2024-09-24 05:39:06,2026-04-21 08:38:23,23.0,0.0,https://www.youtube.com/channel/UCSuBAl5ZqOKvxbqtIRPuWbA,UCSuBAl5ZqOKvxbqtIRPuWbA
Release - Topic,미분류,6,6,0,0,0개,0,2025-12-30 18:52:18,,,,https://www.youtube.com/channel/UCJDlxDEX81SVQG1Q6-ayNfQ,UCJDlxDEX81SVQG1Q6-ayNfQ
Lee Young Hyun - Topic,미분류,6,6,2775만,27750000,2개,2,2026-01-26 10:59:11,,,,https://www.youtube.com/channel/UCurT-8jaK0NKMLyBL4M8QFw,UCurT-8jaK0NKMLyBL4M8QFw
소설소녀수다이,미분류,7,7,463,463,1개,1,2016-10-21 14:56:07,2017-11-05 19:20:14,3112.0,1.0,https://www.youtube.com/channel/UC5TM05g94bkDM6NpoZvdvIw,UC5TM05g94bkDM6NpoZvdvIw
Duru daon,미분류,7,7,3141,3141,1개,1,2017-10-01 23:20:14,2017-11-30 19:40:15,3087.0,1.0,https://www.youtube.com/channel/UCpgy3ovryR63Pioi3H67FBw,UCpgy3ovryR63Pioi3H67FBw
ㅋㅋㅋㅋㅋ,게임,7,7,3941,3941,103개,103,2015-10-25 12:27:40,2020-07-29 21:49:26,2115.0,1.0,https://www.youtube.com/channel/UC81jf4axkWRZGpM8vLYbIKw,UC81jf4axkWRZGpM8vLYbIKw
이수현,미분류,7,7,8296,8296,26개,26,2013-09-01 16:09:47,2026-03-09 20:27:15,66.0,0.0,https://www.youtube.com/channel/UCA8d9xGQLa2SVzFLMAGXxFg,UCA8d9xGQLa2SVzFLMAGXxFg
Release - Topic,미분류,7,7,0,0,0개,0,2025-10-24 15:17:57,,,,https://www.youtube.com/channel/UCbA-oZP-QkU-oSQmYKMkoJw,UCbA-oZP-QkU-oSQmYKMkoJw
HEARTZ - Topic,미분류,7,7,264만,2640000,461개,461,2025-08-30 03:16:20,2026-05-10 19:04:49,4.0,0.0,https://www.youtube.com/channel/UCiPsdTnnieO0vYWCVHPkbvg,UCiPsdTnnieO0vYWCVHPkbvg
Release - Topic,미분류,7,7,35만,350000,4개,4,2025-11-12 10:42:56,2025-11-12 12:03:36,183.0,1.0,https://www.youtube.com/channel/UC1s9RL_8anKfjKij2k00H6A,UC1s9RL_8anKfjKij2k00H6A
슬로비,게임,8,8,0,0,0개,0,2014-04-29 10:29:37,,,,https://www.youtube.com/channel/UCQBGNxeV-xGc00YEHOvgaXA,UCQBGNxeV-xGc00YEHOvgaXA
장병완,뉴스/정치/사회,8,8,1만,10000,6개,6,2012-02-18 20:22:51,2019-05-21 11:21:24,2550.0,1.0,https://www.youtube.com/channel/UC8Bd-gzIKS3LTR5OaIG7WMg,UC8Bd-gzIKS3LTR5OaIG7WMg
정종섭_대구 동구갑 국회의원,뉴스/정치/사회,8,8,3933,3933,38개,38,2016-02-11 09:20:30,2017-04-28 18:07:26,3303.0,1.0,https://www.youtube.com/channel/UC6oI1Z-Tx1A4ImgeBMFpdKw,UC6oI1Z-Tx1A4ImgeBMFpdKw
Sukwon Yoon - Topic,미분류,8,8,552만,5520000,11개,11,2024-06-17 17:56:20,2026-05-13 12:01:59,1.0,0.0,https://www.youtube.com/channel/UCoucVtybA1MErfkI13kNMWA,UCoucVtybA1MErfkI13kNMWA
Release - Topic,미분류,8,8,29만,290000,4개,4,2025-11-26 10:12:20,,,,https://www.youtube.com/channel/UC3uYKbqfMKPXN1KjSSBKeRQ,UC3uYKbqfMKPXN1KjSSBKeRQ
냠냠푸드(YumYum Food),영화/만화/애니,9,9,5372,5372,9개,9,2016-06-17 16:40:41,2023-08-20 09:46:17,998.0,1.0,https://www.youtube.com/channel/UCe3NeVK5yYBWS5M1SPLNWrg,UCe3NeVK5yYBWS5M1SPLNWrg
김순례,뉴스/정치/사회,9,9,1179,1179,4개,4,2012-12-31 17:59:27,2019-02-20 13:42:52,2640.0,1.0,https://www.youtube.com/channel/UCAqyr1sYj7r9qbiNEGU-Y-Q,UCAqyr1sYj7r9qbiNEGU-Y-Q
현영범,게임,9,9,0,0,0개,0,2016-04-15 05:01:23,,,,https://www.youtube.com/channel/UCeO_hw1_j9lYUs9ovzx34eg,UCeO_hw1_j9lYUs9ovzx34eg
HONG HONG,뉴스/정치/사회,9,9,2만,20000,3개,3,2016-02-03 20:57:28,2016-08-31 22:06:41,3543.0,1.0,https://www.youtube.com/channel/UCusI1bqj96l0NLEFi2BRQEw,UCusI1bqj96l0NLEFi2BRQEw
Release - Topic,미분류,9,9,92만,920000,3개,3,2025-10-29 10:03:45,,,,https://www.youtube.com/channel/UCsUYiFN2A9JufgWD5jae4hg,UCsUYiFN2A9JufgWD5jae4hg
Release - Topic,미분류,9,9,0,0,0개,0,2025-10-29 20:09:49,,,,https://www.youtube.com/channel/UCB1FOrOo1p9NfyF8NFWHdEQ,UCB1FOrOo1p9NfyF8NFWHdEQ
Release - Topic,미분류,9,9,10만,100000,2개,2,2025-11-11 15:07:53,2025-11-12 19:03:38,183.0,1.0,https://www.youtube.com/channel/UCahQsp9EeeGCWURngqgKAMQ,UCahQsp9EeeGCWURngqgKAMQ
리얼베어TV(리얼베어TV),취미/라이프,10,10,1만,10000,18개,18,2012-02-12 21:40:27,2020-03-12 21:28:56,2254.0,1.0,https://www.youtube.com/channel/UC4KEOaKK3hYA8sAHogi1bAg,UC4KEOaKK3hYA8sAHogi1bAg
Soyo Seoul,취미/라이프,10,10,702,702,6개,6,2018-07-10 00:45:13,2018-11-11 22:51:03,2741.0,1.0,https://www.youtube.com/channel/UCsGpG2JFNVKu-ZTeFyeaR6w,UCsGpG2JFNVKu-ZTeFyeaR6w
박명재,뉴스/정치/사회,10,10,1327,1327,14개,14,2017-12-04 15:01:21,2018-04-08 11:48:18,2958.0,1.0,https://www.youtube.com/channel/UCQvz2wCFhEQnSPMnWotkTfA,UCQvz2wCFhEQnSPMnWotkTfA
울림(Woolim),미분류,10,10,6983,6983,6개,6,2016-05-20 20:07:37,2016-08-17 11:23:31,3557.0,1.0,https://www.youtube.com/channel/UCYAbngSND2DoOYm_elXBaaA,UCYAbngSND2DoOYm_elXBaaA
수아 - Topic,미분류,10,10,12만,120000,315개,315,2025-02-14 00:23:06,2026-04-30 02:32:39,14.0,0.0,https://www.youtube.com/channel/UCiGaB-bNSQohgQG54oxhPlA,UCiGaB-bNSQohgQG54oxhPlA
국회의원유성엽,뉴스/정치/사회,11,11,4109,4109,25개,25,2014-03-08 09:48:17,2020-02-24 15:43:35,2271.0,1.0,https://www.youtube.com/channel/UCc96duxPEKMwY_l21XyWKOg,UCc96duxPEKMwY_l21XyWKOg
ted youngtae Noh,BJ/인물/연예인,11,11,279,279,4개,4,2011-11-11 10:21:17,2021-12-09 09:52:41,1617.0,1.0,https://www.youtube.com/channel/UCMCcdMTgIzzdpa2iP8RtS8g,UCMCcdMTgIzzdpa2iP8RtS8g
김민기,뉴스/정치/사회,11,11,105,105,1개,1,2012-08-20 20:03:54,2016-12-30 10:40:21,3422.0,1.0,https://www.youtube.com/channel/UCROZs62FGJ2yK_FNm-Dni-A,UCROZs62FGJ2yK_FNm-Dni-A
Release - Topic,미분류,11,11,0,0,0개,0,2025-08-06 18:03:43,,,,https://www.youtube.com/channel/UChEdGWtK0FPlKKMZYERpT3A,UChEdGWtK0FPlKKMZYERpT3A
Release - Topic,미분류,11,11,0,0,0개,0,2025-09-12 17:01:53,,,,https://www.youtube.com/channel/UCXUl_Yt-WBQKu2P2CNasImQ,UCXUl_Yt-WBQKu2P2CNasImQ
Sirius,게임,12,12,5089,5089,20개,20,2017-01-08 15:36:49,2018-02-14 22:54:06,3011.0,1.0,https://www.youtube.com/channel/UCf9ttblPQBtEw0fwxhPB2gA,UCf9ttblPQBtEw0fwxhPB2gA
일러스트..,취미/라이프,12,12,6653,6653,15개,15,2017-07-28 17:27:58,2017-08-08 23:03:22,3201.0,1.0,https://www.youtube.com/channel/UCgjj8Iv1QdpQKIJwTeJsxfg,UCgjj8Iv1QdpQKIJwTeJsxfg
Release - Topic,미분류,12,12,0,0,0개,0,2025-09-11 10:21:20,,,,https://www.youtube.com/channel/UCV653GUVclm7Tsvs5a3_QDA,UCV653GUVclm7Tsvs5a3_QDA
Kelly is Green - Topic,미분류,12,12,181만,1810000,15개,15,2025-05-17 04:35:24,2026-05-06 17:20:58,8.0,0.0,https://www.youtube.com/channel/UC6dXV6-NG1TTZf9QLnxWdnA,UC6dXV6-NG1TTZf9QLnxWdnA
다다파파DADAPAPA,애완/반려동물,14,14,0,0,0개,0,2016-08-12 10:40:25,2016-08-31 01:58:10,3543.0,1.0,https://www.youtube.com/channel/UCGSru-hB6Hj5hSoT8DYRXZw,UCGSru-hB6Hj5hSoT8DYRXZw
흔PD의 치얼업,TV/방송,14,14,1013,1013,1개,1,2017-09-01 14:20:51,2017-09-18 14:25:45,3160.0,1.0,https://www.youtube.com/channel/UC8YqsXkk78P-WCOekvkOJzQ,UC8YqsXkk78P-WCOekvkOJzQ
김석기국회의원,뉴스/정치/사회,14,14,2044,2044,46개,46,2016-06-29 16:25:22,2019-03-13 12:42:27,2619.0,1.0,https://www.youtube.com/channel/UCKKnSKTzn7ajPdEGt65EZGQ,UCKKnSKTzn7ajPdEGt65EZGQ
James1004,영화/만화/애니,14,14,6,6,2개,2,2008-03-17 21:33:16,2023-03-25 12:59:37,1146.0,1.0,https://www.youtube.com/channel/UCTdCqgNr9RFJWXK8qZgxL5g,UCTdCqgNr9RFJWXK8qZgxL5g
Gpgpgpgp,게임,14,14,0,0,0개,0,2015-02-07 12:14:19,,,,https://www.youtube.com/channel/UCvIdKwYwVIpEs0hQ7mZtL-Q,UCvIdKwYwVIpEs0hQ7mZtL-Q
Niceshot,미분류,14,14,1만,10000,192개,192,2018-03-27 00:49:14,2026-05-14 07:00:29,0.0,0.0,https://www.youtube.com/channel/UCc7E4197JHkSERt2LR-xxkQ,UCc7E4197JHkSERt2LR-xxkQ
KIM LEGEND - Topic,미분류,14,14,186만,1860000,4개,4,2025-02-07 13:14:48,2025-11-28 12:02:13,167.0,0.0,https://www.youtube.com/channel/UC1ImM_UoSBCrqoCVdztiTRA,UC1ImM_UoSBCrqoCVdztiTRA
문전성시전해철의,뉴스/정치/사회,15,15,1만,10000,10개,10,2018-03-14 16:22:55,2018-04-18 16:21:03,2948.0,1.0,https://www.youtube.com/channel/UCVPdST87Vl8C1PzZh-K_NKA,UCVPdST87Vl8C1PzZh-K_NKA
소셜러스Socialerus,회사/오피셜,16,16,1만,10000,1개,1,2017-09-26 17:40:33,2018-01-16 18:22:50,3040.0,1.0,https://www.youtube.com/channel/UCZu6e2KUXuOhPlMNLamrujA,UCZu6e2KUXuOhPlMNLamrujA
Aqu-Diary아쿠-다이어리,애완/반려동물,16,16,1만,10000,6개,6,2016-06-17 20:06:07,2016-08-12 19:00:04,3562.0,1.0,https://www.youtube.com/channel/UCcbVk5aDlPa6V3Ap1TfZOIw,UCcbVk5aDlPa6V3Ap1TfZOIw
표춘쿠키,게임,16,16,4391,4391,22개,22,2017-08-11 23:03:41,2018-06-18 21:26:26,2887.0,1.0,https://www.youtube.com/channel/UCchlXINyeQJtQMkq9GLgYsA,UCchlXINyeQJtQMkq9GLgYsA
Myoung Su Lee,뉴스/정치/사회,17,17,9438,9438,21개,21,2014-01-23 18:52:22,2019-02-01 11:29:02,2659.0,1.0,https://www.youtube.com/channel/UCP0XgsVVoL7VKNkLFJz6nEQ,UCP0XgsVVoL7VKNkLFJz6nEQ
신창현,뉴스/정치/사회,17,17,5108,5108,18개,18,2017-07-14 13:13:37,2019-06-26 12:30:36,2514.0,1.0,https://www.youtube.com/channel/UCDIdG2PY-RYtz6qLTdM3UNA,UCDIdG2PY-RYtz6qLTdM3UNA
포포 - Topic,미분류,17,17,6만,60000,2개,2,2026-01-20 14:29:06,2026-03-19 12:04:55,56.0,0.0,https://www.youtube.com/channel/UCYVCM5UlNX96ectSGwH9a8A,UCYVCM5UlNX96ectSGwH9a8A
Release - Topic,미분류,18,18,478만,4780000,2개,2,2025-08-01 01:16:18,2025-08-01 01:20:04,286.0,1.0,https://www.youtube.com/channel/UCs1cW2ByxFZwaf8ATaHro-Q,UCs1cW2ByxFZwaf8ATaHro-Q
가라미즘GARAMISM,키즈/어린이,19,19,1592,1592,12개,12,2012-10-19 00:22:06,2019-04-08 15:41:47,2593.0,1.0,https://www.youtube.com/channel/UCNGsKXBsgWZHJ1PvWoNRr0w,UCNGsKXBsgWZHJ1PvWoNRr0w
Release - Topic,미분류,19,19,288만,2880000,2개,2,2025-07-25 18:51:33,2025-08-02 18:04:28,285.0,1.0,https://www.youtube.com/channel/UCvg-k7U-9i7b96MUHrPwE6A,UCvg-k7U-9i7b96MUHrPwE6A
이종구,뉴스/정치/사회,20,20,5456,5456,102개,102,2015-12-17 16:45:14,2019-07-05 19:09:30,2505.0,1.0,https://www.youtube.com/channel/UCdlebMWgWG2FboFKb0ARBNw,UCdlebMWgWG2FboFKb0ARBNw
딩동데이! Ding Dong Day!,영화/만화/애니,21,21,4053,4053,16개,16,2018-01-17 20:30:31,2018-05-09 16:30:01,2927.0,1.0,https://www.youtube.com/channel/UCM9kqlA_AyZSA6BrATntb_A,UCM9kqlA_AyZSA6BrATntb_A
레알리티,TV/방송,22,22,1만,10000,6개,6,2016-06-18 22:17:51,2016-08-05 21:12:41,3569.0,1.0,https://www.youtube.com/channel/UCW7puz4ORkP6FAhHjBSr8lw,UCW7puz4ORkP6FAhHjBSr8lw
THEBEST,게임,22,22,2만,20000,48개,48,2014-03-18 21:02:28,2021-10-31 01:19:14,1656.0,1.0,https://www.youtube.com/channel/UC8UR6FLhhMmzFGimtBmAi8A,UC8UR6FLhhMmzFGimtBmAi8A
Release - Topic,미분류,22,22,0,0,0개,0,2025-09-24 01:04:11,,,,https://www.youtube.com/channel/UChGQJt2vGTszPJo6MsIyrnA,UChGQJt2vGTszPJo6MsIyrnA
Release - Topic,미분류,22,22,0,0,0개,0,2025-10-24 17:06:21,,,,https://www.youtube.com/channel/UCwz92U8K5907CBxxKMnOMfQ,UCwz92U8K5907CBxxKMnOMfQ
의원실최운열,뉴스/정치/사회,23,23,8528,8528,106개,106,2016-07-11 11:28:21,2019-12-27 16:08:52,2330.0,1.0,https://www.youtube.com/channel/UCJtiZIjhWyNu-PHSKa1HxdQ,UCJtiZIjhWyNu-PHSKa1HxdQ
Bodine Monet - Topic,미분류,23,23,1611만,16110000,28개,28,2018-10-12 17:28:58,2025-09-18 19:05:26,238.0,1.0,https://www.youtube.com/channel/UClPL9PEMZJgXeayGXtaTXjA,UClPL9PEMZJgXeayGXtaTXjA
JunTae - Topic,미분류,23,23,12만,120000,2개,2,2026-01-26 10:38:13,2026-01-29 12:02:32,105.0,0.0,https://www.youtube.com/channel/UCYjeq3xjPu4XPn4vu4qNr3Q,UCYjeq3xjPu4XPn4vu4qNr3Q
