channel_id,channel_title,sensitive_score,churn_prob,stagnation_prob,volatility_prob,regularity_score,active_viewer_score,traffic_risk,reputation_risk,fandom_risk,risk,rank
UCfC7lLfshm-GGKengvBm_HQ,프로연우,0.18,0.006,0.037,0.0,0.5953,0.363,0.11192499999999998,0.18,0.363,0.242988,A
UCg3YdmrYGa2O1IySuWvBT0w,CKOONY,0.18,0.003,0.063,0.057,0.8849,0.6064,0.059524999999999995,0.18,0.6064,0.386548,B
UCIRoiYqgakU4Ep5VLdePUcw,상남자1,0.1733,0.392,0.98,0.984,0.7403,0.8757,0.653925,0.1733,0.8757,0.754648,F
UCM9BpIEKSAFlWwsGNJ2nDFQ,쎄게형TV,0.1733,0.015,0.292,0.161,0.771,0.6074,0.17425,0.1733,0.6074,0.415165,B
UC5Zl8TbOMKMCbDZvO0NfPuw,노은솔,0.1733,0.005,0.846,0.073,0.7499,0.6091,0.293525,0.1733,0.6091,0.470208,C
UCqRHncabshHQm_8t2SuMUrA,씨리얼,0.1667,0.005,0.937,0.937,0.6423,0.3605,0.559175,0.1667,0.3605,0.476033,D
UCxbxK61xeFoymuxmi4ik73g,표림,0.16,0.04,0.855,0.0,0.7863,0.6119,0.277175,0.16,0.6119,0.470923,C
UC7Sh_erU4sKLVgu2eJikrIw,플레이무비,0.16,0.409,0.935,0.993,0.387,0.6033,0.7375,0.16,0.6033,0.59782,F
UCZr3cu75jx6Sz-6KRQ50ySA,널 위한 문화예술,0.16,0.004,0.727,0.095,0.6034,,0.30565,0.16,,,
UCt7dVdo5A1LkUwqzVZqQWag,놀라운논란,0.16,0.005,0.082,0.097,0.6612,0.3604,0.13069999999999998,0.16,0.3604,0.26581,A
UCvrxJgD0T_TFvgsO2nA-fDQ,[꿀템TV] 클템 유튜브,0.16,0.006,0.089,0.0,0.764,0.6058,0.08274999999999999,0.16,0.6058,0.365695,B
UCt51IEo3ZxxOysVAG_ylR6w,찬이TV,0.16,0.031,0.815,0.001,0.567,0.605,0.32,0.16,0.605,0.43475,B
UCdh5nloZ9eo5YpZ2DRWwIew,새벽의 축구 전문가,0.16,0.005,0.025,0.001,1.0,0.3558,0.007750000000000001,0.16,0.3558,0.287195,A
UC-NiIeWEem2yb9Zq-p9glsg,맛즐 ; 조이풀푸드,0.16,0.098,0.042,0.004,0.5897,,0.138575,0.16,,,
UCQTqoER5HqOM0RPwTf8iEUw,조송,0.1533,0.004,0.218,0.989,0.6618,0.6053,0.3873,0.1533,0.6053,0.49155,D
UCsbNh54XE17pOZrdqW3VyXQ,정형돈의 제목없음TV,0.1533,0.029,0.948,0.0,0.786,0.6106,0.29774999999999996,0.1533,0.6106,0.479945,D
UC_IYjiKaQBPq-K1Iq4sM-UQ,블랙컴뱃,0.1533,0.003,0.039,0.002,0.7935,0.3599,0.062625,0.1533,0.3599,0.263977,A
UCmGLKQgLtGhH4goyguKCFWA,흰수염고래스포츠,0.1533,0.004,0.042,0.001,0.8194,0.3592,0.05689999999999999,0.1533,0.3592,0.26731,A
UCqIxpbr47Ga4MLiu6fhIHrQ,배종찬교수의 맛있는 돈이야기,0.1467,0.065,0.989,0.96,0.3679,,0.661525,0.1467,,,
UC834OloIwmrmGTp8zpFbCPw,한준TV HANJUNE TV,0.1467,0.003,0.261,0.043,0.8093,0.3631,0.124425,0.1467,0.3631,0.299447,A
UCw7FqLmYfW-nAVhEd_grcZg,이중선,0.1467,0.273,0.091,0.0,0.6022,0.609,0.19045,0.1467,0.609,0.379045,B
UCpr2S3SBmyjvrx9Q4pLUZHw,movie trip 무비트립,0.1467,0.025,0.108,0.992,0.6835,0.6069,0.360375,0.1467,0.6069,0.483492,D
UCJScFhgZV254qGkEOCJVB9Q,닷페이스,0.1467,0.88,0.938,0.905,0.6038,0.3646,0.7797999999999999,0.1467,0.3646,0.57636,F
UCy1fruN1Tl636SMmyp4x48g,근황올림픽,0.14,0.879,0.975,0.136,0.5656,0.6087,0.6061000000000001,0.14,0.6087,0.57693,F
UCJ_onun6seHzvf0KhcWn_DA,킴킴변호사,0.14,0.916,0.132,0.0,0.8028,0.3601,0.3113,0.14,0.3601,0.38939,B
UCuStgIu_NAts1Kk3y0IydJA,리플레이,0.14,0.917,0.99,0.996,0.4116,0.8652,0.87285,0.14,0.8652,0.774405,F
UCtNQtlVDw79Sdxvm08Egk0w,마참,0.14,0.236,0.911,0.992,0.3959,0.3588,0.685775,0.14,0.3588,0.474383,D
UCcloDgiDqz8twby7zvG-USg,쇼킹부동산,0.14,0.005,0.925,0.0,0.6867,0.3564,0.310825,0.14,0.3564,0.358648,B
UCQtPAu0FjPbA1ku3cA5R2mg,윤쨔미 YoonCharmi,0.14,0.033,0.935,0.004,0.413,0.6074,0.38975000000000004,0.14,0.6074,0.430085,B
UCJTmYzrlVk_GpnwJH5wYNwQ,MR엠알,0.14,0.052,0.088,0.004,0.6808,0.6034,0.11580000000000001,0.14,0.6034,0.35846,B
UCjJhHk-vpe59lCR5f4YalTQ,순풍 선우용여,0.1333,0.011,0.985,0.939,0.6495,0.8669,0.571375,0.1333,0.8669,0.683153,F
UCahZQYrxOsOU02RSHDY9Qgg,줌인센타 zOOm in Center,0.1333,0.006,0.929,0.986,0.5864,0.6046,0.58365,0.1333,0.6046,0.568595,F
UCaPILmoV3QD5i0x5eld2oaA,방가네,0.1333,0.004,0.993,0.018,0.7582,0.6117,0.3142,0.1333,0.6117,0.47966,D
UCCsGPRmHOXhF4WTYs7ght9g,세상의모든지식,0.1333,0.045,0.031,0.162,0.4326,0.6024,0.20135,0.1333,0.6024,0.338115,A
UCOMG2V-vUgYX0aHiBDbBTyg,단희TV,0.1333,0.003,0.893,0.004,0.7758,0.3572,0.28105,0.1333,0.3572,0.365685,B
UCJ9xMKpba6B7K_xrQMqsqHg,"잼잼리뷰,드라마&웹툰 리뷰",0.1333,0.015,0.007,0.132,0.7392,0.6069,0.10370000000000001,0.1333,0.6069,0.36774,B
UC_4hHKHUcs9bGpl_zDAOxvg,캐럿맨 여행기 Carrot man,0.1333,0.058,0.041,0.001,0.583,0.3587,0.12925,0.1333,0.3587,0.242185,A
UCuwnt_REmD4YsCtFJRoqjFw,로자르,0.1333,0.004,0.023,0.008,0.7045,0.609,0.082625,0.1333,0.609,0.349368,A
UCAkCZHtQdPWvbwaP1KJBjvA,샤코타임 Shacotime,0.1333,0.003,0.991,0.002,0.7691,0.6137,0.306725,0.1333,0.6137,0.479448,D
UCTPfDsz2XqmLzYud-fc6xBw,안철수,0.1333,0.13,0.935,0.0,0.4656,,0.39985,0.1333,,,
UCIU2ghnE-3MMhLTlh_7hzZQ,남욱이의 욱기는 일상 KNW,0.1267,0.925,0.023,0.001,0.4135,0.3587,0.383875,0.1267,0.3587,0.326462,A
UCZecnuVvQnBCoopyobFdDZg,팍플레이Pacplay,0.1267,0.128,0.976,0.163,0.5712,0.869,0.42395000000000005,0.1267,0.869,0.590045,F
UC1Vx63SINUqLuEKdH2uKqtw,노홍철,0.1267,0.095,0.912,0.005,0.7965,0.6092,0.303875,0.1267,0.6092,0.482413,D
UCs3uzxOtOa3bZ0WzPXeHveA,동네스타K,0.1267,0.804,0.055,0.995,0.6638,0.8733,0.54755,0.1267,0.8733,0.676715,F
UCxM_h0LDzNU0XVD8YWCb17A,취한무드등,0.1267,0.002,0.984,0.009,0.8398,0.6109,0.2888,0.1267,0.6109,0.48638,D
UCk8I64dalAiQkgAkcQocDcw,에이스토리 ASTORY,0.1267,0.073,0.156,0.982,0.4035,0.608,0.45187499999999997,0.1267,0.608,0.457682,C
UCnql10Qk6jSxlbGW-PAwT6g,김흥광의 북한 NOW!,0.1267,0.94,0.028,0.002,0.3706,0.177,0.39985,0.1267,0.177,0.251045,A
UCWU0v7LAUq0IkXfuUWB0org,용진캠프 글로벌,0.1267,0.048,0.991,0.359,0.4797,0.3594,0.479575,0.1267,0.3594,0.391143,B
UCjF1QO9lFMggd8X_L1ZfRMg,웃음박재,0.1267,0.832,0.994,0.989,0.4098,0.8766,0.8513,0.1267,0.8766,0.76641,F
UCFX6adXoyQKxft933NB3rmA,테크몽 Techmong,0.12,0.005,0.933,0.021,0.7373,0.6069,0.30542500000000006,0.12,0.6069,0.466797,C
UCJfthTE-ACoZJPVgwyw_hsw,필름에빠지다,0.12,0.085,0.099,0.989,0.9645,0.6039,0.302125,0.12,0.6039,0.520748,D
UC1FK8EsrPHHVOvrDvctqpbQ,원창연 WonChangYeon,0.12,0.911,0.978,0.0,0.7399,0.6032,0.537275,0.12,0.6032,0.581892,F
UCfVWxOKzPwSZkEcxXmrH6yw,A급 장영란,0.12,0.005,0.037,0.975,0.7225,0.6068,0.32362499999999994,0.12,0.6068,0.472158,C
UCkHOzpdLbN6HXYGJZ_wlmYw,K-pop idol trainer 인지웅 (In_jiung),0.12,0.907,0.979,0.987,0.3896,0.3797,0.8708500000000001,0.12,0.3797,0.571705,F
UCw9fP0nSoUygLDmvV1GdAZw,레고77,0.12,0.004,0.928,0.006,0.8044,0.6112,0.2834,0.12,0.6112,0.47428,C
UCHxrU6bjWrnBfmReUAeztcw,홍방장,0.12,0.908,0.084,0.0,0.5129,0.605,0.36977499999999996,0.12,0.605,0.442113,C
UCknfGXdai7ZaDhs3Frhtb6A,재뻘TV,0.12,0.003,0.089,0.954,0.7503,0.6091,0.323925,0.12,0.6091,0.480178,D
UCzjEp3u8RMkOJwpc3RzxmWg,콩콩이다,0.12,0.886,0.996,0.007,0.4288,0.6041,0.61505,0.12,0.6041,0.543365,D
UC45m6W8hWEHheoncfd55nuA,웅진 고웨이 GO WAY,0.12,0.107,0.176,0.003,0.7683,0.3661,0.129425,0.12,0.3661,0.290227,A
UCDbOXmGL7EkmOcnUb5Kki4A,아론 페이지,0.12,0.008,0.103,0.004,0.6552,0.3598,0.11495,0.12,0.3598,0.252195,A
UCTTZKQHYCa7ChQxVuXUp7QA,뭉친TV,0.12,0.422,0.972,0.988,0.7422,0.6069,0.6599499999999999,0.12,0.6069,0.645285,F
UC5FpD2izM0UHdKgaqIEGs9w,이리오너라,0.12,0.388,0.983,0.141,0.4365,0.3657,0.518875,0.12,0.3657,0.401842,B
UCZUjLw9C0Tt3VECAhQO9buA,픽츄 : Pick-Chu,0.12,0.007,0.07,0.995,0.6671,0.6081,0.351225,0.12,0.6081,0.472628,C
UCMsjY8EfFZNul-_7DvWe6Aw,니얼굴윤겔라(geltube),0.12,0.921,0.118,0.012,0.4178,0.3583,0.40830000000000005,0.12,0.3583,0.33892,A
UC2qjHK7wWxzb8mF9lgf7uXQ,NICKY니키,0.12,0.029,0.994,0.995,0.6675,0.8661,0.587625,0.12,0.8661,0.694128,F
UCDzpa0rTkUzxhE6h6fMKOQA,자취방남자movie comment,0.1133,0.009,0.002,0.983,0.4642,0.6047,0.38245,0.1133,0.6047,0.435485,B
UCmpJ1DrrN84EDYSAIHCHTUQ,섭이는못말려,0.1133,0.846,0.133,0.948,0.4137,0.6031,0.628325,0.1133,0.6031,0.545157,D
UC-Zedn7a_RJyb5hUQ-aGZog,머독,0.1133,0.003,0.075,0.001,0.7625,0.6054,0.07912500000000001,0.1133,0.6054,0.358678,B
UCDih-87kuRMA8uFcrx10Wlw,세상모든이야기,0.1133,0.41,0.976,0.994,0.6455,0.6117,0.6836249999999999,0.1133,0.6117,0.634197,F
UCLrRutm_EiL2294pFrTEN4w,머니코치 최준호 [네이버 마케팅 1타],0.1133,0.081,0.005,0.008,0.4158,0.356,0.16955,0.1133,0.356,0.217455,A
UCcRTcy_GuofiJLPLMlVcGxw,AliceFunk 앨리스펑크,0.1133,0.003,0.154,0.001,0.8065,0.6049,0.08787500000000001,0.1133,0.6049,0.373853,B
UCYykroDCvkyslfYNvJtencA,선민_sunmin,0.1133,0.045,0.012,0.056,0.7603,0.6074,0.088175,0.1133,0.6074,0.363453,B
UCDEOj33PPDR-Hw9RxdKfjpw,카이바군,0.1133,0.911,0.839,0.11,0.4039,0.3575,0.614025,0.1133,0.3575,0.437318,C
UC0EpedkBG2k7kd8UGJuYShQ,Kemi TV,0.1133,0.003,0.773,0.947,0.7733,0.6099,0.487425,0.1133,0.6099,0.567327,F
UCRSEOIfPNgUYY8xkEzxqfVg,kimwontv김원,0.1133,0.057,0.162,0.0,0.7214,0.3605,0.12439999999999998,0.1133,0.3605,0.27308,A
UCff7sQ_kjCEPZvr8h8US8ww,화니 HWAN'E,0.1133,0.023,0.825,0.04,0.6876,0.6081,0.30010000000000003,0.1133,0.6081,0.45152,C
UCGWhMp-M0m1lCE-tSkEolaw,크리스 이슈 Kris Issue,0.1067,0.061,0.976,0.903,0.463,0.3681,0.61925,0.1067,0.3681,0.458285,C
UCz1n4eA_z9wJX4a9EtvVtWw,비썹 bssup,0.1067,0.891,0.043,0.995,0.4199,0.8731,0.627275,0.1067,0.8731,0.653523,F
UC9aC758Chsts9__AoiIpMIw,애국채널,0.1067,0.93,0.004,0.994,0.5667,,0.590325,0.1067,,,
UC7vyTwJjcUdYsVQjiTHcPyg,쪼선생 JJO TEACHER,0.1067,0.229,0.992,0.98,0.548,0.8766,0.66325,0.1067,0.8766,0.704935,F
UCugNO83_V7xZLzCsjpABGeg,백크 Baekk,0.1067,0.227,0.001,0.003,0.3852,0.6066,0.21145,0.1067,0.6066,0.330335,A
UCcvKf8NxAw9i09hZw1MQPBQ,영래기,0.1067,0.004,0.906,0.989,0.7365,0.3596,0.540625,0.1067,0.3596,0.483947,D
UClN1a2dpx5J8MX2czwyWzXw,jellainkorea 젤라인코리아 ,0.1067,0.016,0.806,0.001,0.8189,0.3778,0.25102500000000005,0.1067,0.3778,0.367028,B
UCdL6zLzOiDJScnPV80oNIdA,NTD Korea,0.1067,0.005,0.857,0.231,0.564,0.1738,0.38225,0.1067,0.1738,0.287315,A
UCEHYQlrn01RoUMjC5ubcNHQ,NB couple엔비커플,0.1067,0.433,0.017,0.026,0.5203,0.8759,0.238925,0.1067,0.8759,0.485568,D
UCiWcXU1zYrEONKQtNVGr_Jw,윤호찌,0.1067,0.029,0.892,0.0,0.7669,0.3653,0.28852500000000003,0.1067,0.3653,0.367777,B
UCO78BQwAIG-pEfhgJEt-VRQ,뽀구미,0.1067,0.003,0.068,0.004,0.7716,0.6077,0.07585000000000001,0.1067,0.6077,0.359575,B
UCPf9TQQUUA4romo9o_EPg8w,묻지마스토리,0.1067,0.923,0.115,0.947,0.4488,0.8722,0.63405,0.1067,0.8722,0.663775,F
UCaWOQq12LbtZ8n02lTYBbuA,날라리데이브!,0.1067,0.006,0.016,0.992,0.4644,0.6069,0.3874,0.1067,0.6069,0.43823,C
UCXAXCxTCCYYKsLJNzEvjqfw,나무늘보,0.1067,0.003,0.926,0.025,0.7688,0.6082,0.2963,0.1067,0.6082,0.4693,C
UCFBfY1hHGla-FpqQfp1KKEg,민짱테레비 [MinzzangTV],0.1067,0.423,0.038,0.267,0.526,0.6085,0.3005,0.1067,0.6085,0.41082,B
UCq3Tc3K8g-8IsA5Fgf7wOBA,지지플래닛,0.1067,0.233,0.987,0.0,0.4844,,0.4339,0.1067,,,
UCfU5N61VKvMJUsUzfaqk0Hg,써에이스쇼 sirace show,0.1067,0.055,0.978,0.164,0.7889,0.3603,0.3520249999999999,0.1067,0.3603,0.403027,B
UCgIArNc-zdwFDmZm0X9QE_A,야구부장,0.1067,0.005,0.035,0.023,0.6004,0.6088,0.11564999999999999,0.1067,0.6088,0.337115,A
UCCs1YZHxUTIbLZd-xrvvMCw,청원이,0.1067,0.005,0.051,0.004,0.7902,0.6094,0.06745,0.1067,0.6094,0.360705,B
UCoUA4jnO_rVCsUGnOG2Yc_g,장기풍 JKP TV,0.1,0.009,0.002,0.168,0.7092,0.6125,0.11745,0.1,0.6125,0.366025,B
UCM15LnqZXsIee1z4t77VLaw,법알못 가이드,0.1,0.927,0.063,0.109,0.4884,0.359,0.40265,0.1,0.359,0.352025,A
UCAoyR-sL6B0S93AMR-HVTvg,떡볶퀸 Tteokbokqueen,0.1,0.004,0.104,0.08,0.7422,0.6068,0.11145000000000001,0.1,0.6068,0.368995,B
UCqcxF7BAF3GSz36Yx_0qGaQ,펭귄몬스터,0.1,0.097,0.054,0.0,0.843,0.3641,0.07700000000000001,0.1,0.3641,0.27989,A
UCugz3-UlkX2P77PtK1Ju0RA,쏘이Soy The World,0.1,0.022,0.993,0.015,0.7201,0.6071,0.32747499999999996,0.1,0.6071,0.471603,C
UC2bIYeGlydYyiaRMpuvx95w,HeyMan,0.1,0.044,0.023,0.019,0.8137,0.6079,0.06807500000000001,0.1,0.6079,0.365623,B
UCRLM0MWS7m8vXzQ_5z2e7fA,히스토리,0.1,0.003,0.918,0.99,0.8053,0.6037,0.526425,0.1,0.6037,0.591017,F
UCt_UFhBBHk5rQPQv12Y7RHg,레이디액션,0.1,0.024,0.974,0.976,0.5603,0.6061,0.603425,0.1,0.6061,0.569227,F
UCoGO9lsemT3YSPvNlu3kOKQ,도징징,0.1,0.003,0.131,0.993,0.7799,0.6064,0.336775,0.1,0.6064,0.490923,D
UCOoM7iaJkVWAmITWHKTPhnQ,버드모이 [Birdmoi],0.1,0.012,0.77,0.908,0.6611,0.3619,0.507225,0.1,0.3619,0.448648,C
UCQeXy0FwvVQD1o0axg6x42A,BAMI ASMR,0.1,0.961,0.002,0.994,0.392,0.8788,0.64125,0.1,0.8788,0.655145,F
UC8Npr6UfHqOmnCe9oGdXKyA,아씨,0.1,0.16,0.018,0.008,0.4368,0.6055,0.18729999999999997,0.1,0.6055,0.33005,A
UCeivPjjK9-cdj8-gw4-7JRg,문호준,0.1,0.01,0.89,0.001,0.7087,0.6041,0.298075,0.1,0.6041,0.452852,C
UCINSVY-JDQraydXAdfMIbPg,상승효과TV,0.1,0.009,0.046,0.0,0.7507,0.3652,0.07607499999999999,0.1,0.3652,0.256793,A
UCXmRJfZ3atLVLDiO5Ufycvw,스튜디오지니,0.1,0.003,0.007,0.994,0.8684,0.6039,0.28390000000000004,0.1,0.6039,0.48561,D
UCEii9gXvnQGFY81s8c0JnvQ,FOODBOX 푸드박스 ,0.1,0.004,0.155,0.001,0.7812,0.608,0.0947,0.1,0.608,0.37085,B
UConOmISJY0oZHRhWGyvdQ2A,핑맨,0.1,0.019,0.292,0.0,0.7435,0.6093,0.14187499999999997,0.1,0.6093,0.385533,B
UCcR_wZ0zimC6UT8VO0KcS8Q,무지개맛 Rainbow Flavor,0.1,0.006,0.828,0.02,0.663,0.6134,0.29774999999999996,0.1,0.6134,0.444985,C
UC-qRVmj6wQtQZq2VdZ6FnxA,토이쿠,0.1,0.027,0.988,0.99,0.4758,0.3678,0.6323,0.1,0.3678,0.46722,C
UCyoSQyaCrZHro6F_nBiXIYg,클리드,0.1,0.008,0.035,0.0,0.782,0.6104,0.06524999999999999,0.1,0.6104,0.357285,B
UCElP7gAosmK-kd8lrNJQGHQ,마쟈TV,0.1,0.048,0.046,0.896,0.6405,0.8727,0.337375,0.1,0.8727,0.562893,D
UCYSFs_X0PYHlAnd-ywzMEZw,하우카우,0.1,0.004,0.045,0.0,0.7713,0.6155,0.069425,0.1,0.6155,0.358738,B
UCSuhLNKQsW0-_JtjzIumbvA,차살때 스튜디오 ,0.1,0.056,0.857,0.948,0.3578,0.6018,0.6258,0.1,0.6018,0.52807,D
UCvETyRQrRBLgCpvGbgrhWvw,TV다가치,0.1,0.01,0.08,0.934,0.4519,0.6075,0.393025,0.1,0.6075,0.437488,C
