channel_id,n_videos,n_comments,net_sentiment_score,pos_ratio,neu_ratio,neg_ratio,like_weighted_nss,loyalty_score,churn_warning_score,polarization_score,avg_comment_len,emoji_ratio,laugh_ratio,cry_ratio,question_ratio
UC69uMhRJcUnvMnMxKT2SS0w,10,500,0.602,0.756,0.09,0.154,0.4099,0.024,0.0007,0.4657,35.06,0.05,0.474,0.01,0.04
UC6le2DAXq9bLVVYl6nenbEg,10,500,0.812,0.874,0.064,0.062,0.8261,0.0913,0.0,0.2168,73.48,0.546,0.07,0.052,0.072
UC7-m6jQLinZQWIbwm9W-1iw,10,500,0.258,0.524,0.21,0.266,0.049,0.0213,0.0,0.5575,30.74,0.068,0.244,0.02,0.086
UC73mr0WxPIJ4KvyhoHy_-_A,10,500,0.814,0.86,0.094,0.046,0.8357,0.1013,0.0,0.1582,38.04,0.658,0.076,0.018,0.042
UC768XN2ZjMYtNsPT6hcvbCA,9,450,0.4311,0.6267,0.1778,0.1956,0.3609,0.0467,0.0059,0.4902,75.41,0.1467,0.0822,0.1067,0.1267
UC7ITxSrzq-nhyyYzozpPmLA,8,64,0.9219,0.9219,0.0781,0.0,0.936,0.5938,0.0,0.0,34.98,0.5156,0.0312,0.0,0.0156
UC7jPc4wO1fqXgKe4NgshV1g,9,124,0.4758,0.5403,0.3952,0.0645,0.6144,0.0376,0.0,0.1394,16.87,0.371,0.129,0.0403,0.0968
UC7xrN8sK99nXgE_wL-3f7Kg,10,338,0.6923,0.784,0.1243,0.0917,0.7706,0.0552,0.0,0.2876,34.39,0.4201,0.0385,0.0533,0.0325
UC84IlgY5HIzxKBZOt8XM5UA,10,328,0.628,0.7835,0.061,0.1555,0.8144,0.1555,0.0,0.4873,41.75,0.2774,0.003,0.0152,0.0549
UC8BPPaTQsHIH3L0TGyKxjTw,10,485,0.3423,0.5753,0.1918,0.233,0.5973,0.0282,0.0014,0.5361,32.39,0.0866,0.1794,0.0515,0.0928
UC8B_76tkLwQmiaJwDKFytXw,10,500,0.834,0.868,0.098,0.034,0.803,0.0553,0.0,0.118,42.61,0.75,0.032,0.046,0.006
UC8GVX05oeuw4vTWve7QYULw,10,500,0.634,0.792,0.05,0.158,0.3333,0.1327,0.0013,0.5005,58.89,0.354,0.154,0.052,0.072
UC8RgkxM4r-peMjEY-jI4Jzw,10,500,0.536,0.676,0.184,0.14,0.3842,0.0633,0.0,0.3786,37.0,0.22,0.216,0.032,0.102
UC8dFtyqgm7UqLcJD_sYVJ4w,10,459,0.5926,0.732,0.1285,0.1394,0.5992,0.0886,0.0022,0.4083,41.9,0.2048,0.1678,0.0523,0.0871
UC8rDleR669f72Sha9PQK11A,10,415,0.1928,0.3783,0.4361,0.1855,0.3095,0.053,0.0008,0.2808,26.96,0.3325,0.0675,0.0892,0.1542
UC8tYgnrcFXk7OCY_uoBmh-A,10,500,0.15,0.502,0.146,0.352,-0.5491,0.0773,0.0033,0.7068,46.37,0.058,0.14,0.02,0.116
UC9-LIDYwTTSHBlZw9kKRI4w,10,193,0.4301,0.6114,0.2073,0.1813,0.641,0.0121,0.0,0.4435,47.49,0.1036,0.0207,0.0207,0.0622
UC9B2D-VzslJ_OTUXA8-V_dQ,10,500,0.742,0.812,0.118,0.07,0.795,0.038,0.0,0.2274,57.24,0.342,0.008,0.022,0.024
UC9FAi5CfRQ7CoG7Rxx2RMcA,10,500,0.318,0.558,0.202,0.24,0.2203,0.0627,0.002,0.5357,37.58,0.096,0.172,0.008,0.088
UC9Ozb41qlL1CTnlsaxmKaGw,10,495,0.703,0.7778,0.1475,0.0747,0.6771,0.0519,0.0,0.2325,47.63,0.4667,0.103,0.0667,0.0485
UC9d2BLNz_hVdE56b3yF1KQw,10,500,0.63,0.766,0.098,0.136,0.5989,0.0247,0.0,0.4167,71.69,0.468,0.176,0.06,0.072
UC9dDP1j40hd0YfjaGClE6lw,8,88,0.7614,0.8068,0.1477,0.0455,0.7141,0.1742,0.0,0.1467,42.35,0.3523,0.0114,0.0114,0.0
UCACti7fagQ5OH_47IaWwpPQ,10,278,0.5935,0.7302,0.1331,0.1367,0.7863,0.0408,0.0,0.3993,49.09,0.2338,0.0216,0.0971,0.0288
UCAbu-rUyFqWw5k5jlSG-Jvw,10,184,0.2717,0.4293,0.413,0.1576,0.1558,0.0,0.0,0.2707,40.32,0.3967,0.0109,0.0109,0.0435
UCAdgaXxbDIlx0uxViVjTPPg,10,474,0.5148,0.6962,0.1224,0.1814,0.3164,0.0837,0.0,0.5053,41.73,0.3819,0.2363,0.0253,0.0527
UCBA9XaL5wCdHnC5EmEzwrqw,10,498,0.0,0.3815,0.2369,0.3815,0.088,0.008,0.0013,0.5822,32.05,0.0402,0.3012,0.0141,0.0924
UCBTsPtRCh6ln3IRQFjhjh1A,10,426,0.3192,0.5775,0.1643,0.2582,0.1624,0.0274,0.0,0.5964,25.64,0.0258,0.392,0.0258,0.0563
UCBZNwAt2n1QPQHAvPTvD6tw,9,246,0.8008,0.874,0.0528,0.0732,0.917,0.1789,0.0,0.2558,58.0,0.374,0.0041,0.0041,0.0285
UCBbT9lgavJ44vNs0Vb_hlqA,10,182,0.3407,0.533,0.2747,0.1923,0.2439,0.0018,0.0,0.41,40.43,0.6209,0.0055,0.0165,0.1154
UCBt-M9TKEjaByElFXX-DDTg,10,331,0.2931,0.571,0.1511,0.2779,-0.4672,0.0584,0.0,0.6348,55.5,0.2236,0.0695,0.0453,0.1178
UCC1LvVTX2ySKYjeIXkAtvsQ,10,500,0.182,0.488,0.206,0.306,0.0314,0.01,0.0,0.5973,38.54,0.036,0.266,0.016,0.084
UCCGZK5dPJk6p6x2n6obqULg,10,493,0.6247,0.7627,0.0994,0.1379,0.6731,0.0176,0.0,0.4208,42.61,0.5862,0.0406,0.0365,0.0304
UCCJkwrmhIqWkSFV-sQol4Qw,10,500,0.388,0.59,0.208,0.202,0.3936,0.096,0.0007,0.4767,47.26,0.21,0.246,0.13,0.08
UCCcK3JRvJWPvOfw2nKNmIIg,6,15,0.4667,0.6,0.2667,0.1333,0.6522,0.1556,0.0,0.32,31.53,0.6,0.0667,0.0667,0.0
UCCjJV_nxuPQ_fWGkAkA46fA,9,307,0.2541,0.5635,0.127,0.3094,0.3202,0.0489,0.0054,0.6975,49.28,0.0749,0.2182,0.0521,0.0651
UCDZLGQgP9GLYG94addcBZjA,10,351,0.4217,0.6382,0.1453,0.2165,0.3853,0.0532,0.0019,0.5527,23.01,0.1311,0.1083,0.0484,0.0541
UCDdvY2ntkRKaul_OQT89jAQ,10,286,0.521,0.6154,0.2902,0.0944,0.5462,0.0315,0.0,0.2324,31.67,0.535,0.021,0.0559,0.0874
UCETl9S7_tJVExpGWXn3EEJQ,7,350,0.3743,0.5743,0.2257,0.2,0.4542,0.0229,0.0,0.4594,28.66,0.0943,0.34,0.0571,0.0571
UCEbJ7iAVK3GQrZ1cAc--ONg,10,500,0.722,0.822,0.078,0.1,0.4893,0.0,0.0,0.3288,167.22,0.624,0.0,0.0,0.056
UCEii9gXvnQGFY81s8c0JnvQ,10,300,0.0367,0.36,0.3167,0.3233,0.1122,0.0267,0.0,0.4656,46.33,0.0633,0.1467,0.04,0.3267
UCFE4_OqQ1366khoohHUH3wQ,5,14,0.7857,0.7857,0.2143,0.0,0.9,0.119,0.0,0.0,62.79,0.2143,0.0,0.0,0.1429
UCFOixeB9gbedVi6uwnsfHMQ,10,500,0.326,0.532,0.262,0.206,0.1115,0.0693,0.004,0.4384,44.83,0.126,0.062,0.016,0.054
UCG2PHnetcVllQFPW5BsE_LA,10,430,0.4372,0.6163,0.2047,0.1791,0.5093,0.0651,0.0,0.4414,37.6,0.3279,0.1209,0.0163,0.0535
UCGEnF364gHB5y6me8eA4gsQ,8,23,0.7826,0.8261,0.1304,0.0435,0.9648,0.2464,0.0,0.1437,54.52,0.2174,0.0,0.0,0.0
UCGdBIFa-EHM-ctGs6qOyUdg,10,168,0.6488,0.7321,0.1845,0.0833,0.6639,0.0456,0.002,0.244,52.32,0.5833,0.0714,0.0298,0.1012
UCGfYw3aUYipiJBe56KdTzMg,10,166,-0.1687,0.2892,0.253,0.4578,-0.3018,0.01,0.0,0.5295,29.54,0.1145,0.1084,0.0301,0.2048
UCGkkuuFlPzYrlWobq1mOO_Q,10,432,0.1435,0.5255,0.0926,0.3819,-0.1014,0.0941,0.0008,0.8028,50.41,0.1343,0.081,0.0486,0.0972
UCHDFA44cYmzocBlosaWADog,10,77,0.6753,0.7662,0.1429,0.0909,0.6568,0.1169,0.0,0.2786,28.57,0.4935,0.0909,0.0649,0.039
UCHTZl9wrDAV45L8IPS7ZYzg,10,500,0.666,0.78,0.106,0.114,0.4446,0.034,0.0,0.3557,40.97,0.342,0.046,0.088,0.046
UCHj3qb7u4WUfUrjlOJtPdKA,10,294,-0.2619,0.2347,0.2687,0.4966,-0.0749,0.0113,0.0,0.4662,41.94,0.0544,0.0816,0.0238,0.1667
UCHrX2qBKBuS2aUZkvr-UdxA,10,500,0.682,0.788,0.106,0.106,0.5388,0.06,0.0,0.3341,49.42,0.428,0.192,0.012,0.04
UCIJAuSf8iqdtp8Wa1E0exMg,9,145,0.0414,0.3724,0.2966,0.331,0.0273,0.0046,0.0,0.4931,25.73,0.0414,0.4483,0.0138,0.1034
UCKNdfTZCJuOQfWN5Pe5UAAQ,10,479,0.1086,0.3967,0.3152,0.2881,0.0741,0.0251,0.0014,0.4571,46.9,0.0355,0.1482,0.0125,0.1524
UCKdfNLnTwKeTUn3l0m_hevA,10,340,0.3382,0.5618,0.2147,0.2235,0.3902,0.0676,0.0,0.5023,25.13,0.2618,0.1618,0.0206,0.1029
UCKkxVSUMRvmvAXMNzjI03Ag,10,500,0.398,0.618,0.162,0.22,0.2227,0.0647,0.0007,0.5438,32.5,0.14,0.348,0.048,0.068
UCLDLJuFIOQZixN8jtEI8X5w,10,500,0.804,0.872,0.06,0.068,0.812,0.06,0.0,0.2372,69.56,0.312,0.06,0.032,0.06
UCLDV9mI3tOQCrdPUWjogQZA,10,500,-0.214,0.266,0.254,0.48,-0.3593,0.016,0.0053,0.5107,74.94,0.028,0.062,0.006,0.138
UCLKYLWsKF4waqDx8T_43hBw,9,160,0.1062,0.4375,0.2312,0.3312,0.5207,0.0083,0.0,0.5797,49.79,0.0875,0.0938,0.0562,0.1062
UCLLlKJZVbeUTzwjVM7Lx9kg,10,449,0.3898,0.5857,0.2183,0.196,0.1777,0.0022,0.0,0.4592,43.16,0.4989,0.0067,0.0468,0.0379
UCLMu34PKskkqvflRz0dBQxQ,9,61,0.7541,0.7869,0.1803,0.0328,0.8479,0.2732,0.0,0.1032,34.46,0.2787,0.0328,0.0,0.0328
UCLlfMCCErVE5VaEyHxB5AgA,10,59,0.4237,0.6102,0.2034,0.1864,0.581,0.0226,0.0,0.455,45.58,0.5085,0.1186,0.0339,0.0508
UCLmknpJ34g2D20jwp2Uv8FQ,10,500,0.414,0.626,0.162,0.212,-0.0506,0.088,0.0007,0.5308,48.87,0.048,0.122,0.098,0.076
UCM1DUoPMGRkfCxfdarlxsQw,10,454,0.3811,0.5969,0.1872,0.2159,0.2652,0.0404,0.0015,0.5154,36.69,0.0859,0.1674,0.0859,0.1057
UCMMDqUABmZUNyJVvFGvb5yA,10,190,0.6316,0.7263,0.1789,0.0947,0.8014,0.0158,0.0,0.2752,43.7,0.5895,0.0263,0.0684,0.0579
UCMYu489PAK30L1eYR4eQJmA,10,467,0.1113,0.4475,0.2163,0.3362,0.1659,0.015,0.0021,0.6018,34.24,0.0257,0.2441,0.0128,0.0985
UCNITpsY7Iz0XzQJbiWgKEBw,10,416,0.6635,0.7788,0.1058,0.1154,0.6667,0.1474,0.0,0.3595,60.36,0.3534,0.1058,0.0553,0.1683
UCNbUh4ETUOSNq0HMMVjhieQ,10,500,-0.126,0.332,0.21,0.458,-0.2962,0.01,0.0,0.6082,78.54,0.022,0.218,0.006,0.128
UCO1jhQjMhiI0YrHUGHyev7A,10,76,0.4605,0.5921,0.2763,0.1316,0.4528,0.0307,0.0,0.3116,46.64,0.4737,0.0132,0.0263,0.1053
UCO61Rl-jslhyeenfjt-NO4w,10,500,0.324,0.568,0.188,0.244,0.0931,0.018,0.0,0.5544,50.72,0.102,0.38,0.152,0.13
UCO_HUi1SA_FoWMa-Zo3RHKg,10,394,0.3655,0.6041,0.1574,0.2386,0.4903,0.0448,0.0,0.5765,20.16,0.2843,0.0736,0.0457,0.0127
UCOn_YQVSnLToexOyqIIidUg,10,253,0.5534,0.6245,0.3043,0.0711,0.6599,0.0316,0.0,0.1777,30.57,0.7273,0.083,0.0237,0.0395
UCOtSwKUxIIP99lZfQ48Byag,9,31,0.1935,0.3871,0.4194,0.1935,0.1882,0.0108,0.0,0.2997,19.32,0.6452,0.0,0.0323,0.1613
UCPGZyaFaJe0IXRIhVFXatBQ,10,500,0.534,0.706,0.122,0.172,0.387,0.0867,0.0,0.4857,50.01,0.178,0.054,0.11,0.066
UCPTM-NMXolwmnUE_rjFIoYQ,10,500,0.42,0.634,0.152,0.214,0.0376,0.0267,0.0027,0.5427,34.56,0.204,0.238,0.016,0.052
UCPgp1ebqCv6i-7N1wj_SSKQ,10,108,0.1759,0.5185,0.1389,0.3426,0.0799,0.0185,0.0,0.7106,28.86,0.0926,0.0926,0.0926,0.0648
UCPoTjCZvUOkECBNm6ezsVEA,10,500,0.224,0.53,0.164,0.306,-0.198,0.0493,0.0,0.6487,61.91,0.084,0.192,0.038,0.05
UCPpYonu8HMQCvNVcG2xYgwA,10,484,0.5971,0.7479,0.1012,0.1508,0.4865,0.0579,0.0,0.4512,65.12,0.4835,0.1343,0.1219,0.0888
UCPxCAB6hvZw20ckLaIFxUJQ,10,476,-0.0987,0.3445,0.2122,0.4433,-0.2521,0.0182,0.0014,0.6109,36.66,0.0525,0.1555,0.0231,0.0672
UCQ7X91NIBS174KJT4Id0lnQ,4,200,0.515,0.67,0.175,0.155,0.7382,0.0767,0.0017,0.4154,50.74,0.045,0.125,0.08,0.135
UCQAY4bQklsP1bZVoH25qNVw,10,218,0.4541,0.6514,0.1514,0.1972,0.5347,0.0031,0.0,0.5139,66.68,0.5092,0.0046,0.0275,0.1193
UCQOxUtjZJAQpxCIqBgfoCRA,10,134,0.5224,0.6716,0.1791,0.1493,0.1307,0.1891,0.0,0.401,85.26,0.1791,0.0746,0.0224,0.0522
UCQdekhc-rky81G-0Xfng4lg,10,229,0.0393,0.3712,0.2969,0.3319,-0.1135,0.0291,0.0,0.4927,45.59,0.0873,0.1441,0.0349,0.2052
UCRd5GHOaDf06jHp-pRmQB5A,10,105,0.7143,0.781,0.1524,0.0667,0.445,0.1238,0.0,0.2083,41.72,0.3333,0.0762,0.0381,0.0762
UCS1bJuQ8_1KXC86RhPvJexw,10,57,0.4912,0.5965,0.2982,0.1053,0.4944,0.0409,0.0,0.2512,22.46,0.5614,0.1404,0.0351,0.1228
UCSPMRoAphbObUYeDaX367Fg,8,400,-0.01,0.2775,0.435,0.2875,-0.2489,0.0317,0.0,0.3191,79.35,0.045,0.05,0.0075,0.1625
UCSQPjdpKtG7egh3qmOcUn1w,10,179,0.7374,0.7821,0.1732,0.0447,0.7246,0.1173,0.0,0.1398,30.62,0.2849,0.1229,0.0335,0.162
UCSshlhZx6y5hAyzPxxuSO6Q,10,497,0.4608,0.6358,0.1891,0.1751,0.1628,0.0087,0.0,0.4452,43.56,0.338,0.0101,0.008,0.0503
UCT8DsZlac7D1_dx6d8Kh_Qw,10,493,0.426,0.5963,0.2333,0.1704,0.0852,0.0318,0.0088,0.4064,44.6,0.1176,0.1501,0.0264,0.0832
UCTo4z9G0AMGtEo3N6A6SSeQ,10,388,0.567,0.7088,0.1495,0.1418,0.5651,0.0378,0.0,0.4019,32.55,0.4433,0.1134,0.0902,0.0747
UCU9_ebZ3cHzknWeL9TwOr6A,10,489,0.0879,0.4335,0.2209,0.3456,-0.16,0.032,0.002,0.5993,36.79,0.1309,0.1084,0.1084,0.1431
UCVJT18d9wSCnDUdnJ9ycO7Q,10,500,0.29,0.556,0.178,0.266,0.2199,0.024,0.0,0.5916,28.42,0.016,0.456,0.012,0.046
UCVlpeCeAyC7zpG7DxDToADQ,10,476,0.5063,0.6387,0.229,0.1324,0.229,0.0448,0.0,0.3381,41.92,0.1176,0.1891,0.0273,0.0525
UCW5FEe1eiOAKzcnhmeI0Mzw,10,223,0.3677,0.583,0.2018,0.2152,0.344,0.0149,0.0135,0.5019,33.55,0.278,0.13,0.0583,0.1256
UCWFMjDuWKlct0jy89k2kkRA,10,500,0.636,0.718,0.2,0.082,0.6653,0.0147,0.0,0.2355,40.95,0.592,0.066,0.03,0.028
UCWJ-2Qht_-dwHpB831FAF1g,10,500,0.804,0.876,0.052,0.072,0.5706,0.0947,0.0,0.2523,69.73,0.382,0.228,0.112,0.086
UCWf4QKgnTyvmehcRqw-JldQ,10,500,0.414,0.616,0.182,0.202,0.0588,0.0247,0.0,0.4977,43.57,0.08,0.408,0.06,0.1
UCWq4TrLFdm7fFzCb4uo2V4Q,10,314,0.1083,0.4618,0.1847,0.3535,0.1334,0.0149,0.0011,0.653,32.74,0.0828,0.0828,0.0605,0.1847
UCWvrB8eZ18wB5o7QnzMAdcA,10,262,0.3855,0.5344,0.3168,0.1489,0.6513,0.0038,0.0,0.3182,38.94,0.355,0.0115,0.0,0.0916
UCXIF1aXKmE6x5gyyt5z88YQ,10,320,0.6344,0.7656,0.1031,0.1312,0.8842,0.4104,0.0031,0.402,51.34,0.3062,0.0406,0.0062,0.0469
UCXhTIte6TjoItbiUVUnMIlA,10,415,0.5229,0.6699,0.1831,0.147,0.0222,0.0169,0.0,0.3939,31.13,0.1639,0.1928,0.0145,0.0819
UCXnXkf3DrZjdy1uwXO77drw,10,130,0.0615,0.3846,0.2923,0.3231,0.0651,0.0077,0.0,0.497,29.73,0.1077,0.2692,0.0462,0.1615
UCYJlyU_Lf33eqp6KWYONTGg,10,377,0.5544,0.6286,0.2971,0.0743,0.4345,0.0557,0.0,0.1868,57.84,0.6578,0.0663,0.069,0.1618
UCYSFs_X0PYHlAnd-ywzMEZw,10,466,0.0665,0.3605,0.3455,0.294,-0.1303,0.0079,0.0,0.424,36.86,0.0408,0.3176,0.0043,0.1137
UCYpLOJi7euZwhv6osUgzQ5w,10,487,0.3696,0.6324,0.1047,0.2628,0.4308,0.0014,0.0,0.6649,212.51,0.4107,0.0021,0.0,0.0678
UCZFglJIUsaCPRE_3yzr8zzg,10,464,0.6659,0.7586,0.1487,0.0927,0.5759,0.0625,0.0,0.2812,23.92,0.3642,0.028,0.0603,0.0323
UCZFpMuxoquMkvyWkBNFHMwQ,10,500,0.742,0.834,0.074,0.092,0.9162,0.0567,0.0,0.3069,82.44,0.384,0.01,0.024,0.028
UCZYzZfioGJxGZgMfAMNpQZA,10,100,0.42,0.59,0.24,0.17,0.5763,0.0133,0.0,0.4012,34.7,0.61,0.0,0.03,0.09
UCZe_uzZ6VLMXtwW2V9-VvpQ,10,500,0.558,0.692,0.174,0.134,0.6469,0.0073,0.0,0.3709,64.89,0.66,0.0,0.0,0.018
UC_CCESx_buyR2ZCPPZr3OAw,10,166,0.759,0.8012,0.1566,0.0422,0.8872,0.1004,0.0,0.1351,49.21,0.7048,0.0361,0.0602,0.1024
UC_TSipLXGlfnrHdZubDzHpQ,10,460,0.7196,0.8,0.1196,0.0804,0.7861,0.0601,0.0,0.2574,48.02,0.5304,0.0391,0.0848,0.1043
UC_ZGfQ1Iw9uk8Avr8ohjSdg,9,99,0.4242,0.6162,0.1919,0.1919,0.6168,0.0168,0.0,0.473,23.68,0.3535,0.101,0.0505,0.0909
UC_iOLp7QqWu1iy5s8Dya2gw,10,420,0.3643,0.5667,0.231,0.2024,0.3462,0.0159,0.0,0.4587,37.25,0.2262,0.05,0.0071,0.0524
UCaNGiz6D2vHP7XLj9d5691A,10,443,0.7494,0.8352,0.079,0.0858,0.6901,0.0594,0.0023,0.2866,37.18,0.1896,0.1828,0.079,0.0677
UCbbuHjMbzBn4fVd1hV77Ddw,10,489,0.6789,0.773,0.1329,0.0941,0.6372,0.0116,0.0,0.2909,63.7,0.4233,0.0041,0.002,0.0409
UCbr6AL4ayehAkXcdBM68e8A,1,6,0.8333,0.8333,0.1667,0.0,0.8333,0.3889,0.0,0.0,17.67,0.0,0.0,0.0,0.1667
UCd1IveTHngTF8ZyQ9f6uchw,10,500,0.828,0.888,0.052,0.06,0.7424,0.1327,0.0,0.2131,32.29,0.172,0.122,0.018,0.018
UCdK23vzK74N6SzL9VIKR3MQ,10,500,0.892,0.936,0.02,0.044,0.8705,0.094,0.0007,0.1647,48.89,0.238,0.034,0.018,0.016
UCdM-fLpO0Nv67NLDofSl9yA,10,430,0.7023,0.7744,0.1535,0.0721,0.4948,0.0411,0.0,0.2233,95.05,0.5488,0.0395,0.0186,0.086
UCdV79O72wNg4Trqsc_934TQ,10,246,0.2114,0.4228,0.3659,0.2114,0.6759,0.0014,0.0,0.3575,65.52,0.313,0.0,0.0,0.1057
UCdZX-lHiBTJNqUD0QlyHInw,10,497,0.7928,0.8632,0.0664,0.0704,0.8581,0.1294,0.0013,0.2431,41.9,0.3742,0.1087,0.0,0.0302
UCdeYFxl6rvylWFVuBVyufCg,10,500,0.402,0.588,0.226,0.186,0.3793,0.022,0.0007,0.4375,23.75,0.214,0.24,0.028,0.086
UCdjuQV-tsX4eJsQp2qT-NKg,10,499,-0.1583,0.3126,0.2164,0.4709,-0.7536,0.0274,0.0,0.5889,49.9,0.0401,0.1303,0.008,0.0721
UCdzXSux7OnRD1Cml-DQ416Q,10,500,0.742,0.834,0.074,0.092,0.7908,0.0347,0.0,0.3069,45.51,0.416,0.074,0.212,0.038
UCeAnUT7zm00vcb1BS2-K8FQ,10,425,0.0141,0.4565,0.1012,0.4424,-0.7587,0.0392,0.0,0.8077,42.09,0.0847,0.04,0.0047,0.1082
UCeQlMQ-4cedE7SNmF5JsdsA,10,489,0.4683,0.6135,0.2413,0.1452,0.3133,0.0218,0.0,0.3563,54.52,0.4908,0.0204,0.0184,0.0798
UCeXxAet11DPbC8pG-lBOUTQ,10,500,0.814,0.876,0.062,0.062,0.8723,0.0207,0.0007,0.2172,32.73,0.374,0.19,0.056,0.058
UCeivPjjK9-cdj8-gw4-7JRg,10,172,0.1163,0.3953,0.3256,0.2791,0.2003,0.0233,0.0,0.4413,23.74,0.0407,0.1047,0.0233,0.1628
UCeoAtQO7Tj_KEG8GRoNe4BA,10,254,0.3465,0.5591,0.2283,0.2126,0.2739,0.0315,0.0,0.4754,33.09,0.2008,0.1535,0.0827,0.2008
UCfIUuMA7U_jImP7oWfTe4Pw,10,500,0.154,0.456,0.242,0.302,-0.0069,0.0213,0.0013,0.5508,29.03,0.042,0.356,0.01,0.052
UCfvV6ilUqAm8DZyIjsO8-Vw,8,386,0.7306,0.8005,0.1295,0.0699,0.6566,0.0725,0.0,0.224,45.31,0.4456,0.0518,0.0699,0.0466
